model,avg_rank,nemenyi_cd
chronos,1.7241379310344827,1.13264665780832
lgbm_direct,2.413793103448276,1.13264665780832
nas_gru,2.896551724137931,1.13264665780832
chronos_cov,3.3448275862068964,1.13264665780832
seasonal_naive,4.620689655172414,1.13264665780832
