tier,model,mean_coverage,mean_width,n_cities
rich,chronos,0.9285714285714286,18.47229246412005,14
rich,chronos_cov,0.9097222222222222,17.804012141715962,14
rich,lgbm_direct,0.9345238095238095,21.048876392848893,14
rich,nas_gru,0.9136904761904762,18.776101760864258,14
rich,seasonal_naive,0.9702380952380952,35.071714285714286,14
scarce,chronos,0.9314814814814815,108.6351600901286,15
scarce,chronos_cov,0.9277777777777777,123.94396539434966,15
scarce,lgbm_direct,0.912962962962963,105.83011142821398,15
scarce,nas_gru,0.9305555555555556,107.96136899312337,15
scarce,seasonal_naive,0.9490740740740741,163.85333333333335,15
