city,chronos,lgbm_direct,fm_advantage,usable_hours
accra,0.710686714476105,0.7853647899582595,0.07467807548215455,8160
addis_ababa,1.6420958397130807,1.6457246351875696,0.0036287954744889106,3610
amsterdam,0.2434099908901495,0.2488034064217495,0.005393415531599999,11228
bangkok,0.1622848573613428,0.235280734057429,0.0729958766960862,18164
berlin,0.2493650838388911,0.2559054340886471,0.006540350249755966,19574
bogota,1.1103307250784844,0.853141013229429,-0.25718971184905537,5175
delhi,0.977625431403306,0.9775116383241652,-0.0001137930791408337,2518
dhaka,0.8545257369292475,1.0089530864123082,0.1544273494830607,9395
hanoi,0.6456646780616041,0.6796625329258861,0.03399785486428197,6062
jakarta,0.826658041357239,0.6916085715720024,-0.13504946978523658,7024
kampala,0.806179438124196,0.898162252706558,0.09198281458236202,2836
karachi,0.2368250861930988,0.2825407193738591,0.0457156331807603,5214
krakow,0.9258955912306376,0.6827958388529975,-0.24309975237764003,9344
lagos,0.548500341380229,0.5292610800851705,-0.019239261295058485,3378
lahore,0.651731163440451,0.6671104119478891,0.015379248507438104,5563
lima,0.6144291726742531,0.5711695881090104,-0.043259584565242704,5227
los_angeles,0.5448973948655117,0.5636052697664964,0.01870787490098469,8195
madrid,0.6900978445671657,0.3459878979945798,-0.3441099465725859,6431
manila,0.9352322065439777,0.9107630265301944,-0.024469180013783287,10992
mexico_city,0.5433056054830063,0.7618282187589897,0.21852261327598332,3371
mumbai,1.451894083438596,1.7037760039839258,0.25188192054532976,3004
nairobi,0.6358747513872555,0.6637859120227514,0.027911160635495924,13576
new_york,0.4476032748282748,0.5068009189187082,0.05919764409043338,13421
paris,1.1151010195458857,0.8989087531064958,-0.21619226643938994,4457
santiago,0.3203065431239165,0.3385976156393134,0.01829107251539691,16288
seoul,0.3275157523838146,0.3464974873276217,0.018981734943807116,19827
sydney,0.3839190767135021,0.4606888302417133,0.0767697535282112,7277
toronto,0.4406416774247095,0.5435890560976987,0.1029473786729892,13518
vienna,0.1664599678749008,0.1507602121838452,-0.01569975569105561,6241
