city,chronos,lgbm_direct,fm_advantage,usable_hours
accra,0.710686714476105,0.787224213691892,0.07653749921578701,8160
addis_ababa,1.6420958397130807,1.643814813549469,0.0017189738363883045,3610
amsterdam,0.2434099908901495,0.2807972516029381,0.03738726071278861,11228
bangkok,0.1622848573613428,0.1995229045442049,0.03723804718286211,18164
berlin,0.2493650838388911,0.2911387594120173,0.04177367557312617,19574
bogota,1.1103307250784844,0.97962094133612,-0.13070978374236442,5175
delhi,0.977625431403306,0.9333445014598512,-0.044280929943454894,2518
dhaka,0.8545257369292475,0.9577924816471636,0.10326674471791608,9395
hanoi,0.6456646780616041,0.6751764970385589,0.029511818976954762,6062
jakarta,0.826658041357239,0.6601608159523772,-0.16649722540486178,7024
kampala,0.806179438124196,0.7681868470184066,-0.03799259110578945,2836
karachi,0.2368250861930988,0.2832262005249226,0.046401114331823784,5214
krakow,0.9258955912306376,0.7719164467482598,-0.15397914448237782,9344
lagos,0.548500341380229,0.6064217837312306,0.057921442351001606,3378
lahore,0.651731163440451,0.6991013834728357,0.04737022003238467,5563
lima,0.6144291726742531,0.6166904176571546,0.002261244982901478,5227
los_angeles,0.5448973948655117,0.6461597391786542,0.10126234431314252,8195
madrid,0.6900978445671657,0.3709853501732892,-0.3191124943938765,6431
manila,0.9352322065439777,0.8998022460383038,-0.03542996050567382,10992
mexico_city,0.5433056054830063,0.8461715554671784,0.30286594998417204,3371
mumbai,1.451894083438596,1.726692217040278,0.27479813360168204,3004
nairobi,0.6358747513872555,0.6630151359712456,0.02714038458399015,13576
new_york,0.4476032748282748,0.5597968914004408,0.11219361657216598,13421
paris,1.1151010195458857,1.1607813090182608,0.045680289472375124,4457
santiago,0.3203065431239165,0.343136098437639,0.022829555313722494,16288
seoul,0.3275157523838146,0.3683253682875297,0.040809615903715124,19827
sydney,0.3839190767135021,0.7023725864224876,0.31845350970898545,7277
toronto,0.4406416774247095,0.4355879064571704,-0.005053770967539117,13518
vienna,0.1664599678749008,0.1934287304096545,0.026968762534753693,6241
