tier,model,mean_coverage,mean_width,n_cities
rich,chronos,0.9600340136054422,24.387600552507223,14
rich,chronos_cov,0.9383503401360545,23.823287249619373,14
rich,lgbm_direct,0.9557823129251701,21.94886580668021,14
rich,nas_gru,0.9528061224489796,23.80437973794483,14
rich,seasonal_naive,0.9400510204081632,36.97428571428571,14
scarce,chronos,0.9317460317460318,98.3440175374349,15
scarce,chronos_cov,0.9456349206349207,94.79148351790664,15
scarce,lgbm_direct,0.9273809523809524,95.28495609640908,15
scarce,nas_gru,0.928968253968254,100.62726576487223,15
scarce,seasonal_naive,0.9341269841269841,136.6757894736842,15
