model,avg_rank,nemenyi_cd
chronos,1.9655172413793103,1.13264665780832
lgbm_direct,2.0,1.13264665780832
chronos_cov,2.793103448275862,1.13264665780832
nas_gru,3.3793103448275863,1.13264665780832
seasonal_naive,4.862068965517241,1.13264665780832
