model,avg_rank,nemenyi_cd
chronos,1.8275862068965518,1.13264665780832
lgbm_direct,2.1724137931034484,1.13264665780832
nas_gru,3.0689655172413794,1.13264665780832
chronos_cov,3.1379310344827585,1.13264665780832
seasonal_naive,4.793103448275862,1.13264665780832
