city,seed,model_a,model_b,dm_stat,p_value,mean_loss_diff,better,significant_5pct
accra,42,nas_gru,seasonal_naive,-0.074857673728973,0.9404325713592956,-0.08534438080257839,nas_gru,False
accra,42,nas_gru,lgbm_direct,2.3192895331163834,0.021795615939626665,1.4618749680556915,lgbm_direct,True
accra,42,nas_gru,chronos,1.8563523265545276,0.06546118508284719,2.05167951186498,chronos,False
accra,42,nas_gru,chronos_cov,1.1416640244014968,0.2555018371781167,1.0625541911789744,chronos_cov,False
accra,43,nas_gru,seasonal_naive,0.7243050332484048,0.4700618401977872,1.0374051597383287,seasonal_naive,False
accra,43,nas_gru,lgbm_direct,3.772592541146471,0.00023591427780972243,2.584624508596599,lgbm_direct,True
accra,43,nas_gru,chronos,2.8647605735254507,0.004802706901245649,3.174429052405887,chronos,True
accra,43,nas_gru,chronos_cov,2.084793794441882,0.03886600677136509,2.185303731719882,chronos_cov,True
accra,44,nas_gru,seasonal_naive,0.34490431329794163,0.7306730707452201,0.3400668568081326,seasonal_naive,False
accra,44,nas_gru,lgbm_direct,2.4029880883865378,0.017543989405565553,1.8872862056664022,lgbm_direct,True
accra,44,nas_gru,chronos,2.072575341751494,0.04000720202863623,2.477090749475691,chronos,True
accra,44,nas_gru,chronos_cov,1.4879938720836967,0.1389543701444604,1.4879654287896853,chronos_cov,False
accra,45,nas_gru,seasonal_naive,0.9857824618238286,0.32590486021977527,1.3952951563729181,seasonal_naive,False
accra,45,nas_gru,lgbm_direct,4.094068206099706,7.059435542956071e-05,2.9425145052311876,lgbm_direct,True
accra,45,nas_gru,chronos,3.139247708712035,0.002058015053129502,3.5323190490404763,chronos,True
accra,45,nas_gru,chronos_cov,2.426680944764414,0.016482232512965517,2.543193728354471,chronos_cov,True
accra,46,nas_gru,seasonal_naive,0.5615251490437834,0.575318556167261,0.7983265916506449,seasonal_naive,False
accra,46,nas_gru,lgbm_direct,3.1353139513028525,0.0020839927952693675,2.3455459405089147,lgbm_direct,True
accra,46,nas_gru,chronos,2.656772526170605,0.008786011839359476,2.9353504843182034,chronos,True
accra,46,nas_gru,chronos_cov,1.9038840575870086,0.05893416274341057,1.9462251636321979,chronos_cov,False
addis_ababa,42,nas_gru,seasonal_naive,-2.528429636027068,0.01254317652362743,-4.8764066078044745,nas_gru,True
addis_ababa,42,nas_gru,lgbm_direct,1.1711283958108416,0.24349493353946267,1.9771997124077636,lgbm_direct,False
addis_ababa,42,nas_gru,chronos,1.4100273704086508,0.16070293565669166,2.0051715705129833,chronos,False
addis_ababa,42,nas_gru,chronos_cov,1.10420293685161,0.2713596669116595,1.7879153696207202,chronos_cov,False
addis_ababa,43,nas_gru,seasonal_naive,-2.588032150168902,0.010648687593696362,-5.1597442141285645,nas_gru,True
addis_ababa,43,nas_gru,lgbm_direct,0.9301160036338852,0.3538785236149966,1.6938621060836736,lgbm_direct,False
