test,comparison,n_cities,spec_wins,fm_wins,statistic,p_value
binomial_sign,lgbm_direct_vs_chronos,29,12.0,17.0,,0.45825831964612007
wilcoxon_signed_rank,lgbm_direct_vs_chronos,29,,,212.0,0.9152156375348568
friedman,all_tiers,29,,,66.39999999999998,1.3045156898331111e-13
