city,chronos,lgbm_direct,fm_advantage,usable_hours
accra,0.8185212516381672,0.8797318437247409,0.061210592086573645,8160
addis_ababa,1.486016412867192,1.5212028760864815,0.03518646321928953,3610
amsterdam,0.4901979067860136,0.5298862389938428,0.03968833220782919,11228
bangkok,0.3445729090414014,0.4084198294259202,0.06384692038451878,18164
berlin,0.4651696165141316,0.4167951140626808,-0.04837450245145075,19574
bogota,1.0463203512808716,0.816054451517125,-0.23026589976374667,5175
delhi,0.9959478197632526,1.1806233844278302,0.18467556466457757,2518
dhaka,0.7690894629698416,0.8886965523321831,0.11960708936234155,9395
hanoi,0.3862349936874918,0.4143811268187558,0.028146133131263962,6062
jakarta,0.7866004370311253,0.6902195651958442,-0.0963808718352811,7024
kampala,0.7021079658102172,0.6744421166123956,-0.027665849197821557,2836
karachi,0.2075501847290353,0.2591587155631578,0.05160853083412248,5214
krakow,1.010887505767838,0.7415326023394356,-0.2693549034284023,9344
lagos,0.4777360734876546,0.5085541413697047,0.03081806788205005,3378
lahore,0.8181061023109109,0.7648685702140474,-0.05323753209686344,5563
lima,0.7398085822271652,0.6340253911195336,-0.10578319110763157,5227
los_angeles,0.5121959572455335,0.5260157643030349,0.01381980705750141,8195
madrid,0.7148728308950317,0.5477457959896425,-0.16712703490538927,6431
manila,1.1382310964986764,0.9178044797735893,-0.22042661672508712,10992
mexico_city,0.6460213385141178,0.7716251786633417,0.12560384014922388,3371
mumbai,1.3384841835340175,1.6898373975111878,0.35135321397717023,3004
nairobi,0.675929422993412,0.6585456636504671,-0.017383759342944893,13576
new_york,0.473488043376582,0.4498414531122482,-0.0236465902643338,13421
paris,0.8751599758996651,0.734585079114112,-0.14057489678555313,4457
santiago,0.333586084098582,0.3472472464977711,0.01366116239918913,16288
seoul,0.4196110322262019,0.4213602325403321,0.0017492003141302281,19827
sydney,0.351694583616879,0.4037271733934887,0.05203258977660968,7277
toronto,0.4468828937365891,0.5152526678002671,0.068369774063678,13518
vienna,0.3011570452577357,0.3061458195050345,0.004988774247298822,6241
