city,model_a,model_b,dm_stat,p_value,mean_loss_diff,better,significant_5pct
accra,seasonal_naive,lgbm_direct,2.6347712356909443,0.008810512092209581,6.993783065105258,lgbm_direct,True
accra,seasonal_naive,chronos,2.729838896765902,0.006671405898504069,7.47753905398505,chronos,True
accra,seasonal_naive,chronos_cov,2.4422847567981067,0.015111083854693903,6.329104617693653,chronos_cov,True
accra,seasonal_naive,nas_gru,1.5622444714065327,0.11917455241288208,4.421634376049042,nas_gru,False
accra,lgbm_direct,chronos,1.0852974996128515,0.2785702905480644,0.483755988879793,chronos,False
accra,lgbm_direct,chronos_cov,-1.3750985349374731,0.1700198168284325,-0.6646784474116052,lgbm_direct,False
accra,lgbm_direct,nas_gru,-4.559334187105385,7.204556678575073e-06,-2.572148689056216,lgbm_direct,True
accra,chronos,chronos_cov,-2.493081825697766,0.013146189482920108,-1.1484344362913983,chronos,True
accra,chronos,nas_gru,-4.738217901242514,3.19091853782313e-06,-3.055904677936009,chronos,True
accra,chronos_cov,nas_gru,-2.5445618296949153,0.011389761187647358,-1.9074702416446112,chronos_cov,True
addis_ababa,seasonal_naive,lgbm_direct,3.6790744667492374,0.0002726434539828271,5.040715044201288,lgbm_direct,True
addis_ababa,seasonal_naive,chronos,4.666514410207775,4.436090711818023e-06,5.301369382351163,chronos,True
addis_ababa,seasonal_naive,chronos_cov,5.4373390213568165,1.0442724324994241e-07,5.5874365240550485,chronos_cov,True
addis_ababa,seasonal_naive,nas_gru,2.8702541575435894,0.004362103211632036,4.045028865413061,nas_gru,True
addis_ababa,lgbm_direct,chronos,0.46985153516103184,0.6387667903796356,0.26065433814987654,chronos,False
addis_ababa,lgbm_direct,chronos_cov,0.794502764485677,0.42746527703610004,0.5467214798537607,chronos_cov,False
addis_ababa,lgbm_direct,nas_gru,-1.2097777988477674,0.22721716322121951,-0.9956861787882271,lgbm_direct,False
addis_ababa,chronos,chronos_cov,0.7997371464298189,0.42442981367756805,0.28606714170388436,chronos_cov,False
addis_ababa,chronos,nas_gru,-1.6410831437827427,0.1017186359860829,-1.2563405169381034,chronos,False
addis_ababa,chronos_cov,nas_gru,-1.817433887227946,0.07004394708449962,-1.5424076586419877,chronos_cov,False
amsterdam,seasonal_naive,lgbm_direct,2.577984838200113,0.010364544680481967,2.8845543037438657,lgbm_direct,True
amsterdam,seasonal_naive,chronos,2.9233494505822444,0.003698471213436301,3.1041033702210235,chronos,True
amsterdam,seasonal_naive,chronos_cov,2.5882984448577226,0.01006528055359464,2.8812740099665954,chronos_cov,True
amsterdam,seasonal_naive,nas_gru,2.341898327303694,0.019771313012431378,2.6441280092484827,nas_gru,True
amsterdam,lgbm_direct,chronos,0.8452013331055511,0.3986016791098381,0.2195490664771579,chronos,False
