tier,model,mean_coverage,mean_width,n_cities
rich,chronos,0.9285714285714286,18.47229246412005,14
rich,chronos_cov,0.9355158730158729,19.476990804019945,14
rich,lgbm_direct,0.9255952380952381,17.69361679637171,14
rich,nas_gru,0.9136904761904762,18.776101760864258,14
rich,seasonal_naive,0.9702380952380952,35.071714285714286,14
scarce,chronos,0.9314814814814815,108.6351600901286,15
scarce,chronos_cov,0.9305555555555556,112.69275826040595,15
scarce,lgbm_direct,0.9157407407407407,102.17203594833909,15
scarce,nas_gru,0.9305555555555556,107.96136899312337,15
scarce,seasonal_naive,0.9490740740740741,163.85333333333335,15
