city,model_a,model_b,dm_stat,p_value,mean_loss_diff,better,significant_5pct,p_value_fdr,significant_5pct_fdr
accra,seasonal_naive,chronos,1.5139580014178686,0.13224360693537635,2.1370238926675587,chronos,False,0.1743211182329961,False
accra,seasonal_naive,lgbm_direct,1.2721125053949833,0.20539792019385109,1.5325336923267843,lgbm_direct,False,0.2707518038918946,False
accra,seasonal_naive,chronos_cov,0.21374847388482687,0.8310476696452904,0.3522613848406262,chronos_cov,False,0.8960376718675037,False
accra,seasonal_naive,nas_gru,-0.48169431323823536,0.6307594709497223,-0.6008098589049445,seasonal_naive,False,0.6774823947237758,False
accra,chronos,lgbm_direct,-0.8971229605970913,0.37116117519722436,-0.6044902003407743,chronos,False,0.7688338629085362,False
accra,chronos,chronos_cov,-1.7953060611738985,0.07471680811458403,-1.7847625078269322,chronos,False,0.21667874353229372,False
accra,chronos,nas_gru,-2.4905936985626953,0.01389710324416259,-2.737833751572503,chronos,True,0.10910002176959668,False
accra,lgbm_direct,chronos_cov,-1.9157138919331442,0.057397350799876005,-1.1802723074861579,lgbm_direct,False,0.27742052886606733,False
accra,lgbm_direct,nas_gru,-2.758946240359556,0.006557508185221656,-2.1333435512317287,lgbm_direct,True,0.038033547474285605,True
accra,chronos_cov,nas_gru,-1.1927548903481886,0.2349407242275908,-0.9530712437455706,chronos_cov,False,0.6193891820545576,False
addis_ababa,seasonal_naive,chronos,4.120499146427116,6.373200116609351e-05,6.881578178317458,chronos,True,0.000462057008454178,True
addis_ababa,seasonal_naive,lgbm_direct,3.003457354861494,0.0031520770910825704,6.868327805686629,lgbm_direct,True,0.013058605091627791,True
addis_ababa,seasonal_naive,chronos_cov,5.219946726747623,6.181052010344323e-07,4.895900837690697,chronos_cov,True,1.7925050829998537e-05,True
addis_ababa,seasonal_naive,nas_gru,2.5953094058652497,0.010435933191403434,5.051029090528135,nas_gru,True,0.03746655328525976,True
addis_ababa,chronos,lgbm_direct,-0.011171582933557397,0.9911021223692225,-0.013250372630828918,chronos,False,0.9911021223692225,False
addis_ababa,chronos,chronos_cov,-1.4936263054304428,0.13747652929788437,-1.9856773406267614,chronos,False,0.33223494580322055,False
addis_ababa,chronos,nas_gru,-1.2687466158484955,0.20659282413158708,-1.8305490877893236,chronos,False,0.5197095186915621,False
addis_ababa,lgbm_direct,chronos_cov,-0.9672881133276894,0.3350331111376885,-1.9724269679959323,lgbm_direct,False,0.6119536133036645,False
addis_ababa,lgbm_direct,nas_gru,-0.941622450529179,0.3479739676420379,-1.8172987151584945,lgbm_direct,False,0.7208032186870785,False
addis_ababa,chronos_cov,nas_gru,0.08953037462650054,0.9287856876125618,0.15512825283743778,nas_gru,False,0.9287856876125618,False
amsterdam,seasonal_naive,chronos,1.6682075815491841,0.09746275188303889,3.1670175522187396,chronos,False,0.1433069878294903,False
amsterdam,seasonal_naive,lgbm_direct,1.6659441857312935,0.09791363929925992,2.9593958258099127,lgbm_direct,False,0.1774684712299086,False
amsterdam,seasonal_naive,chronos_cov,1.582858970476272,0.11566278266850676,2.9348962349034573,chronos_cov,False,0.20963879358666848,False
amsterdam,seasonal_naive,nas_gru,0.8825560103508671,0.3789573868273791,1.315498535573167,nas_gru,False,0.47781583556495627,False
amsterdam,chronos,lgbm_direct,-0.776284251907251,0.4388632402527044,-0.20762172640882723,chronos,False,0.7828817961804702,False
amsterdam,chronos,chronos_cov,-1.9757292562141426,0.050110218616222814,-0.23212131731528254,chronos,False,0.1816495424838077,False
amsterdam,chronos,nas_gru,-3.1419157602864303,0.002040566974320123,-1.8515190166455728,chronos,True,0.029588221127641784,True
amsterdam,lgbm_direct,chronos_cov,-0.09207320936134437,0.9267687336271659,-0.02449959090645531,lgbm_direct,False,0.9598676169709933,False
amsterdam,lgbm_direct,nas_gru,-4.2119402166212145,4.4584157375611334e-05,-1.6438972902367455,lgbm_direct,True,0.0006464702819463644,True
amsterdam,chronos_cov,nas_gru,-2.9099272495535105,0.004193951341485133,-1.61939769933029,chronos_cov,True,0.04054152963435629,True
bangkok,seasonal_naive,chronos,1.9934979003079751,0.048109241594776524,2.528589387734731,chronos,True,0.07966106245009137,False
bangkok,seasonal_naive,lgbm_direct,2.027463398991238,0.04447271036010103,2.2673653525574173,lgbm_direct,True,0.09920835388022538,False
bangkok,seasonal_naive,chronos_cov,0.06257351836322264,0.9501934944234718,0.08572822619466614,chronos_cov,False,0.9802973315495087,False
bangkok,seasonal_naive,nas_gru,0.6873806288814465,0.49295623029927116,0.6992882861031426,nas_gru,False,0.5788760268992348,False
bangkok,chronos,lgbm_direct,-0.6823919828086855,0.4960950165731416,-0.26122403517731363,chronos,False,0.7828817961804702,False
bangkok,chronos,chronos_cov,-5.323899571354332,3.847165404671329e-07,-2.4428611615400646,chronos,True,1.1156779673546855e-05,True
bangkok,chronos,nas_gru,-2.460928767687239,0.015048278864771957,-1.8293011016315883,chronos,True,0.10910002176959668,False
