train_weeks,model,seed,MASE,usd_per_1k,per_forecast_ms,measured_usd_per_1k,energy_source
4,seasonal_naive,,1.1728142320575958,4.765916156867644e-10,0.00012569449204925654,,tdp_proxy
4,lgbm_direct,,0.6183426401656875,1.2436195340931724e-05,3.279875694311664,,tdp_proxy
4,nas_gru,42.0,1.09911960668591,7.451597194732232e-07,0.042580555398469895,,tdp_proxy
4,nas_gru,43.0,0.9448039804507049,4.2894444428990635e-07,0.024511111102280363,,tdp_proxy
4,nas_gru,44.0,1.2539747863452806,3.8452604106472184e-07,0.02197291663226982,,tdp_proxy
4,nas_gru,45.0,1.1045359321574373,3.0100000180431783e-07,0.017200000103103876,,tdp_proxy
4,nas_gru,46.0,1.0164891258657371,6.046250006066759e-07,0.03455000003466719,,tdp_proxy
4,chronos,,0.22706602354504768,4.009366666650749e-05,2.2910666666575707,,tdp_proxy
4,chronos_cov,,0.4221073031181866,2.5059100696833205e-05,1.4319486112476119,,tdp_proxy
12,seasonal_naive,,1.1728142320575958,4.0023146370744885e-10,0.0001055555508678986,,tdp_proxy
12,lgbm_direct,,0.8271827331790096,1.4023239554502551e-05,3.6984368055830905,,tdp_proxy
12,nas_gru,42.0,0.8483895957544251,3.0927603928729595e-07,0.017672916530702625,,tdp_proxy
12,nas_gru,43.0,0.7516834949897637,2.945468736470502e-07,0.016831249922688585,,tdp_proxy
12,nas_gru,44.0,0.7739679927438816,2.9639409401877655e-07,0.016936805372501515,,tdp_proxy
12,nas_gru,45.0,0.7132347322683855,3.9255902998370906e-07,0.022431944570497662,,tdp_proxy
12,nas_gru,46.0,0.7005170293228065,3.906631945937988e-07,0.022323611119645648,,tdp_proxy
12,chronos,,0.22706602354504768,1.9031067705428643e-05,1.087489583167351,,tdp_proxy
12,chronos_cov,,0.35151762630764766,2.6035612847105465e-05,1.4877493055488837,,tdp_proxy
26,seasonal_naive,,1.1728142320575958,4.1866331701856793e-10,0.00011041669899390804,,tdp_proxy
26,lgbm_direct,,0.6340364466937745,1.2437767302828806e-05,3.280290277669135,,tdp_proxy
26,nas_gru,42.0,0.5113923036577019,3.155833347692452e-07,0.01803333341538544,,tdp_proxy
26,nas_gru,43.0,0.6132443154315653,2.960538207238035e-07,0.016917361184217345,,tdp_proxy
26,nas_gru,44.0,0.5512531342912806,3.3811458479249266e-07,0.019320833416713867,,tdp_proxy
26,nas_gru,45.0,0.5333295489347951,4.3257812245024575e-07,0.024718749854299758,,tdp_proxy
26,nas_gru,46.0,0.5542243737317528,3.2065103924752395e-07,0.01832291652842994,,tdp_proxy
26,chronos,,0.22706602354504768,2.2502751736889574e-05,1.2858715278222614,,tdp_proxy
26,chronos_cov,,0.35836148665561346,2.5879680556499804e-05,1.478838888942846,,tdp_proxy
52,seasonal_naive,,1.1728142320575958,4.133970732153911e-10,0.0001090277995293339,,tdp_proxy
52,lgbm_direct,,0.5546120539204992,1.3155316522544228e-05,3.469534027923752,,tdp_proxy
52,nas_gru,42.0,0.5465460522061001,4.952621553558049e-07,0.028300694591760274,,tdp_proxy
52,nas_gru,43.0,0.5086972952081528,3.03211804748571e-07,0.017326388842775486,,tdp_proxy
52,nas_gru,44.0,0.48390472792182165,5.658333321257992e-07,0.03233333326433138,,tdp_proxy
52,nas_gru,45.0,0.4610854320416535,4.6130729389106926e-07,0.026360416793775383,,tdp_proxy
52,nas_gru,46.0,0.5843247882312612,2.943159744164506e-07,0.016818055680940032,,tdp_proxy
52,chronos,,0.22706602354504768,2.1325111110854777e-05,1.2185777777631301,,tdp_proxy
52,chronos_cov,,0.34396388517827337,2.6029050348420746e-05,1.4873743056240427,,tdp_proxy
104,seasonal_naive,,1.1728142320575958,4.2919542145817233e-10,0.00011319439686808942,,tdp_proxy
104,lgbm_direct,,0.42979742257961423,1.3720493402371613e-05,3.6185916665595466,,tdp_proxy
104,nas_gru,42.0,0.49525298684634805,3.0747742862836783e-07,0.017570138778763875,,tdp_proxy
104,nas_gru,43.0,0.4156223093738411,3.9560937567431307e-07,0.02260625003853218,,tdp_proxy
104,nas_gru,44.0,0.626209926129644,6.447777781836016e-07,0.03684444446763438,,tdp_proxy
104,nas_gru,45.0,0.6172863654674762,3.481649307306927e-07,0.019895138898896728,,tdp_proxy
104,nas_gru,46.0,0.42042046808934025,3.6008680454971093e-07,0.02057638883141206,,tdp_proxy
104,chronos,,0.22706602354504768,2.371590277410481e-05,1.3551944442345605,,tdp_proxy
104,chronos_cov,,0.3129131954757095,2.643543923340985e-05,1.5105965276234201,,tdp_proxy
