train_weeks,model,seed,MASE,usd_per_1k,per_forecast_ms,measured_usd_per_1k,energy_source
4,seasonal_naive,,1.8868537002272276,4.73958493785176e-10,0.00012500004231696948,,tdp_proxy
4,lgbm_direct,,0.6924213655054624,1.591821186387413e-05,4.19820972234043,,tdp_proxy
4,nas_gru,42.0,0.8521219071168851,8.019253452099898e-07,0.045824305440570846,,tdp_proxy
4,nas_gru,43.0,0.8887532462473027,4.0483333350493924e-07,0.023133333343139384,,tdp_proxy
4,nas_gru,44.0,0.8629348715751005,2.886770832649037e-07,0.016495833329423074,,tdp_proxy
4,nas_gru,45.0,0.8842908443052102,3.0200867942969326e-07,0.017257638824553903,,tdp_proxy
4,nas_gru,46.0,0.902420139233294,3.1458680647726095e-07,0.01797638894155777,,tdp_proxy
4,chronos,,1.0063744217123063,4.4363423611583937e-05,2.5350527778047964,,tdp_proxy
4,chronos_cov,,0.472426226290472,2.9320204861909992e-05,1.675440277823428,,tdp_proxy
12,seasonal_naive,,1.8868537002272276,4.2392956082174485e-10,0.00011180559845848216,,tdp_proxy
12,lgbm_direct,,0.5237334846454768,1.5451144357775267e-05,4.075027083369302,,tdp_proxy
12,nas_gru,42.0,0.7955535284098899,3.2759027868046867e-07,0.01871944449602678,,tdp_proxy
12,nas_gru,43.0,0.763128794154756,2.934045109112857e-07,0.016765972052073468,,tdp_proxy
12,nas_gru,44.0,0.8275241226208652,3.327187492787844e-07,0.019012499958787683,,tdp_proxy
12,nas_gru,45.0,0.8394572251914545,3.4975694613118927e-07,0.01998611120749653,,tdp_proxy
12,nas_gru,46.0,0.8433929945405111,5.260572899917153e-07,0.030060416570955165,,tdp_proxy
12,chronos,,1.0063744217123063,2.4179604167531783e-05,1.3816916667161019,,tdp_proxy
12,chronos_cov,,0.45545447534420613,2.6921428819453767e-05,1.538367361111644,,tdp_proxy
26,seasonal_naive,,1.8868537002272276,5.977140736595848e-10,0.00015763887656956084,,tdp_proxy
26,lgbm_direct,,0.5324675385914416,1.598250957751875e-05,4.215167361103846,,tdp_proxy
26,nas_gru,42.0,0.8219903853488139,3.199218758709321e-07,0.01828125004976755,,tdp_proxy
26,nas_gru,43.0,0.759336959354322,3.3189236117121054e-07,0.018965277781212028,,tdp_proxy
26,nas_gru,44.0,0.7628721130892872,4.2484895882605795e-07,0.024277083361489024,,tdp_proxy
26,nas_gru,45.0,0.7203786061438093,3.160937482486285e-07,0.01806249989992163,,tdp_proxy
26,nas_gru,46.0,0.7753256870501299,4.459583300962954e-07,0.025483333148359735,,tdp_proxy
26,chronos,,1.0063744217123063,2.2483234372177527e-05,1.2847562498387157,,tdp_proxy
26,chronos_cov,,0.9806952042628023,2.7896567704222735e-05,1.594089583098442,,tdp_proxy
52,seasonal_naive,,1.8868537002272276,4.160301951169795e-10,0.00010972224926162098,,tdp_proxy
52,lgbm_direct,,0.5379943684408366,1.626747175881788e-05,4.290322222105816,,tdp_proxy
52,nas_gru,42.0,0.796876773076055,3.539982625018941e-07,0.020228472142965376,,tdp_proxy
52,nas_gru,43.0,0.8520240010623923,4.7314409761788237e-07,0.027036805578164704,,tdp_proxy
52,nas_gru,44.0,0.7935575316462214,3.163003435070601e-07,0.018074305343260575,,tdp_proxy
52,nas_gru,45.0,0.7999122183247358,3.2940104397817376e-07,0.018822916798752785,,tdp_proxy
52,nas_gru,46.0,0.7108253362820803,3.914045143776295e-07,0.02236597225015026,,tdp_proxy
52,chronos,,1.0063744217123063,2.232415451291874e-05,1.2756659721667853,,tdp_proxy
52,chronos_cov,,1.0787894858063802,3.208973784770326e-05,1.8336993055830437,,tdp_proxy
104,seasonal_naive,,1.8868537002272276,7.557002382546434e-10,0.000199305557341884,,tdp_proxy
104,lgbm_direct,,0.5105435434828172,1.7109816839656053e-05,4.512479166502696,,tdp_proxy
104,nas_gru,42.0,0.8285589729152192,4.2443576477227095e-07,0.0242534722727012,,tdp_proxy
104,nas_gru,43.0,0.8827639433522262,4.740677104564384e-07,0.02708958345465362,,tdp_proxy
104,nas_gru,44.0,0.853590644685042,7.783975704316819e-07,0.044479861167524684,,tdp_proxy
104,nas_gru,45.0,0.7967940510670577,2.811059034178874e-07,0.016063194481022138,,tdp_proxy
104,nas_gru,46.0,0.8097905888847187,5.174774307508616e-07,0.02957013890004924,,tdp_proxy
104,chronos,,1.0063744217123063,2.8937684028531094e-05,1.6535819444874909,,tdp_proxy
104,chronos_cov,,1.276356515312744,4.312297743101428e-05,2.464170138915102,,tdp_proxy
