train_weeks,wtp=0,wtp=500,wtp=1500,wtp=5000,wtp=20000
4,nas_gru,nas_gru,nas_gru,nas_gru,nas_gru
12,nas_gru,nas_gru,nas_gru,nas_gru,nas_gru
26,nas_gru,nas_gru,nas_gru,nas_gru,nas_gru
52,nas_gru,nas_gru,nas_gru,nas_gru,nas_gru
104,nas_gru,nas_gru,nas_gru,nas_gru,nas_gru
