train_weeks,model,seed,MASE,usd_per_1k,per_forecast_ms,measured_usd_per_1k,energy_source
4,seasonal_naive,,0.7583229567409318,4.686918668152497e-10,0.0001236110417974285,,tdp_proxy
4,lgbm_direct,,0.3619586203179043,1.043390833186735e-05,2.7517999996133664,,tdp_proxy
4,chronos,,0.32751575238381464,5.7824873259354104e-05,3.304278471963092,,tdp_proxy
4,chronos_cov,,0.3651582483550335,2.4261866320658657e-05,1.3863923611804947,,tdp_proxy
12,seasonal_naive,,0.7583229567409318,4.1076395131380265e-10,0.00010833334979704685,,tdp_proxy
12,lgbm_direct,,0.3659214604851531,1.0850670428352612e-05,2.8617152778072827,,tdp_proxy
12,chronos,,0.32751575238381464,2.5244467009441803e-05,1.442540971968103,,tdp_proxy
12,chronos_cov,,0.35824947660106166,2.4583222215773677e-05,1.4047555551870674,,tdp_proxy
26,seasonal_naive,,0.7583229567409318,3.9496521990427193e-10,0.00010416665140332447,,tdp_proxy
26,lgbm_direct,,0.37391513549133465,1.0892836922157248e-05,2.8728361113381755,,tdp_proxy
26,chronos,,0.32751575238381464,2.409972395930203e-05,1.3771270833886875,,tdp_proxy
26,chronos_cov,,0.38087293685985935,2.3433812498802177e-05,1.339074999931553,,tdp_proxy
52,seasonal_naive,,0.7583229567409318,3.923320980026835e-10,0.00010347220167103742,,tdp_proxy
52,lgbm_direct,,0.36191902867813014,1.0936812355381605e-05,2.8844340277929508,,tdp_proxy
52,chronos,,0.32751575238381464,2.4726515620285584e-05,1.4129437497306045,,tdp_proxy
52,chronos_cov,,0.34674281252406053,2.5539670136317403e-05,1.4594097220752802,,tdp_proxy
104,seasonal_naive,,0.7583229567409318,4.370951703296871e-10,0.00011527784711991747,,tdp_proxy
104,lgbm_direct,,0.35307224643305085,1.1349809114369269e-05,2.9933562499435435,,tdp_proxy
104,chronos,,0.32751575238381464,2.6833868053775706e-05,1.5333638887871832,,tdp_proxy
104,chronos_cov,,0.3520833655563045,2.7989184026814152e-05,1.59938194438938,,tdp_proxy
