train_weeks,model,seed,MASE,usd_per_1k,per_forecast_ms,measured_usd_per_1k,energy_source
4,seasonal_naive,,2.1257849367887323,5.977140736595848e-10,0.00015763887656956084,,tdp_proxy
4,lgbm_direct,,0.868216281248841,1.3028332552064766e-05,3.4360437499951026,,tdp_proxy
4,nas_gru,42.0,1.856737058884759,9.212777773528716e-07,0.05264444442016409,,tdp_proxy
4,nas_gru,43.0,1.7548188256731891,5.997881971274587e-07,0.03427361126442621,,tdp_proxy
4,nas_gru,44.0,1.6647890549662938,4.177881977638107e-07,0.02387361130078918,,tdp_proxy
4,nas_gru,45.0,1.5825832303134548,3.912222213229042e-07,0.02235555550416595,,tdp_proxy
4,nas_gru,46.0,1.749452915199309,3.254270819120898e-07,0.018595833252119418,,tdp_proxy
4,chronos,,0.7128155226986413,4.73161597238282e-05,2.7037805556473256,,tdp_proxy
4,chronos_cov,,1.0259489583564076,3.0366984377805137e-05,1.7352562501602935,,tdp_proxy
12,seasonal_naive,,2.1257849367887323,4.318289265265102e-10,0.00011388894765534335,,tdp_proxy
12,lgbm_direct,,0.86557124748276,1.420175069472828e-05,3.7455166667415245,,tdp_proxy
12,nas_gru,42.0,1.615959053237348,4.5106250025936687e-07,0.025775000014820963,,tdp_proxy
12,nas_gru,43.0,1.676026110853065,3.5956423466308876e-07,0.020546527695033647,,tdp_proxy
12,nas_gru,44.0,1.7579012457490406,5.007673631654244e-07,0.02861527789516711,,tdp_proxy
12,nas_gru,45.0,1.6695222555846216,5.095538194331715e-07,0.029117361110466946,,tdp_proxy
12,nas_gru,46.0,1.6133539233989551,5.492812500859953e-07,0.03138750000491402,,tdp_proxy
12,chronos,,0.7128155226986413,2.298352777516912e-05,1.3133444442953786,,tdp_proxy
12,chronos_cov,,1.0138434111178547,2.8077522569118527e-05,1.6044298610924872,,tdp_proxy
26,seasonal_naive,,2.1257849367887323,4.0549770751062567e-10,0.00010694445033247273,,tdp_proxy
26,lgbm_direct,,0.6801200555106127,1.3286779398126951e-05,3.504205555549965,,tdp_proxy
26,nas_gru,42.0,0.8877807104376673,4.410121525527049e-07,0.02520069443158314,,tdp_proxy
26,nas_gru,43.0,0.8988620483304046,3.678767360623978e-07,0.021021527774994157,,tdp_proxy
26,nas_gru,44.0,0.8779613055497595,3.8465972086972517e-07,0.02198055547827001,,tdp_proxy
26,nas_gru,45.0,0.9420141413135223,6.4414583776953e-07,0.036808333586830284,,tdp_proxy
26,nas_gru,46.0,0.9532809547452383,3.4072743068867966e-07,0.019470138896495983,,tdp_proxy
26,chronos,,0.7128155226986413,2.2399125002215844e-05,1.2799500001266197,,tdp_proxy
26,chronos_cov,,1.1771456303952539,2.65225624992935e-05,1.5155749999596284,,tdp_proxy
52,seasonal_naive,,2.1257849367887323,4.0023146370744885e-10,0.0001055555508678986,,tdp_proxy
52,lgbm_direct,,0.5872146857934591,1.3851961544198139e-05,3.6532645830852237,,tdp_proxy
52,nas_gru,42.0,0.9321887183815744,3.325972223440961e-07,0.019005555562519778,,tdp_proxy
52,nas_gru,43.0,0.8019448443531746,5.213420134471864e-07,0.029790972196982086,,tdp_proxy
52,nas_gru,44.0,0.7974777031487287,3.4302430549359994e-07,0.01960138888534857,,tdp_proxy
52,nas_gru,45.0,0.88102580307595,3.6193402315297536e-07,0.020681944180170022,,tdp_proxy
52,nas_gru,46.0,0.7928895903267876,3.4239235977414255e-07,0.019565277701379575,,tdp_proxy
52,chronos,,0.7128155226986413,2.1975637152485834e-05,1.255750694427762,,tdp_proxy
52,chronos_cov,,1.012465699874234,2.694009548501223e-05,1.5394340277149847,,tdp_proxy
104,seasonal_naive,,2.1257849367887323,4.0286458560903726e-10,0.00010625000060018565,,tdp_proxy
104,lgbm_direct,,0.7614252587530302,1.4491418228464714e-05,3.8219124998148697,,tdp_proxy
104,nas_gru,42.0,0.7721333617005155,3.3055555604732944e-07,0.018888888916990254,,tdp_proxy
104,nas_gru,43.0,0.7367835414268454,3.973593730835192e-07,0.022706249890486814,,tdp_proxy
104,nas_gru,44.0,0.7006843302756329,3.528072900533313e-07,0.02016041657447608,,tdp_proxy
104,nas_gru,45.0,0.8475138308620194,2.9792534683615993e-07,0.017024305533494852,,tdp_proxy
104,nas_gru,46.0,0.773967171855126,3.973715277222961e-07,0.022706944441274066,,tdp_proxy
104,chronos,,0.7128155226986413,2.0238579862103102e-05,1.156490277834463,,tdp_proxy
104,chronos_cov,,1.0216459065221786,2.7151711804738928e-05,1.5515263888422244,,tdp_proxy
