train_weeks,wtp=0,wtp=500,wtp=1500,wtp=5000,wtp=20000
4,chronos_cov,chronos_cov,chronos_cov,chronos_cov,nas_gru
12,chronos_cov,chronos_cov,chronos_cov,chronos_cov,nas_gru
26,lgbm_direct,lgbm_direct,lgbm_direct,lgbm_direct,nas_gru
52,lgbm_direct,lgbm_direct,lgbm_direct,lgbm_direct,nas_gru
104,lgbm_direct,lgbm_direct,lgbm_direct,lgbm_direct,nas_gru
