train_weeks,model,seed,MASE,usd_per_1k,per_forecast_ms,measured_usd_per_1k,energy_source
4,seasonal_naive,,2.1257849367887323,4.3709440399618837e-10,0.00011527764500998374,,tdp_proxy
4,lgbm_direct,,0.9495516409923714,9.903535792183768e-06,2.6119215276089056,,tdp_proxy
4,chronos,,0.7128155226986413,5.763095138970837e-05,3.2931972222690495,,tdp_proxy
4,chronos_cov,,1.2660975258644223,2.3865199654109247e-05,1.3637256945205283,,tdp_proxy
12,seasonal_naive,,2.1257849367887323,4.133970732153911e-10,0.0001090277995293339,,tdp_proxy
12,lgbm_direct,,1.0166185476396286,9.883624275331655e-06,2.606670138549008,,tdp_proxy
12,chronos,,0.7128155226986413,2.3991357638806222e-05,1.3709347222174983,,tdp_proxy
12,chronos_cov,,1.3140165432195787,2.269001388665654e-05,1.2965722220946594,,tdp_proxy
26,seasonal_naive,,2.1257849367887323,4.1076395131380265e-10,0.00010833334979704685,,tdp_proxy
26,lgbm_direct,,0.8435088231249723,1.043567777752388e-05,2.7522666665997044,,tdp_proxy
26,chronos,,0.7128155226986413,2.4593965275319836e-05,1.4053694443039906,,tdp_proxy
26,chronos_cov,,1.3526436222167322,2.2909954864189783e-05,1.309140277953702,,tdp_proxy
52,seasonal_naive,,2.1257849367887323,3.9496521990427193e-10,0.00010416665140332447,,tdp_proxy
52,lgbm_direct,,0.6764712701821277,1.0351539640935326e-05,2.7300763888181083,,tdp_proxy
52,chronos,,0.7128155226986413,2.5379034730879843e-05,1.4502305560502766,,tdp_proxy
52,chronos_cov,,1.2553811279282752,2.378349652240609e-05,1.359056944137491,,tdp_proxy
104,seasonal_naive,,2.1257849367887323,3.9496521990427193e-10,0.00010416665140332447,,tdp_proxy
104,lgbm_direct,,0.9074267312151718,9.990844183785493e-06,2.6349479166027674,,tdp_proxy
104,chronos,,0.7128155226986413,2.6218171871429752e-05,1.498181249795986,,tdp_proxy
104,chronos_cov,,1.225451108251734,2.58663368074647e-05,1.4780763889979829,,tdp_proxy
