train_weeks,model,seed,MASE,usd_per_1k,per_forecast_ms,measured_usd_per_1k,energy_source
4,seasonal_naive,,0.7583229567409318,6.97771939586447e-10,0.00018402776428653547,,tdp_proxy
4,lgbm_direct,,0.3789730545524355,1.5492802662118232e-05,4.086013888910303,,tdp_proxy
4,nas_gru,42.0,0.5298851306848948,7.883263876667316e-07,0.04504722215238467,,tdp_proxy
4,nas_gru,43.0,0.4533249421354425,2.807413190768986e-07,0.016042361090108495,,tdp_proxy
4,nas_gru,44.0,0.4634867332104398,2.8431423465412484e-07,0.01624652769452142,,tdp_proxy
4,nas_gru,45.0,0.4627850684677047,2.826614602074389e-07,0.016152083440425083,,tdp_proxy
4,nas_gru,46.0,0.479298825159961,2.752968720819303e-07,0.01573124983325316,,tdp_proxy
4,chronos,,0.32751575238381464,4.6276987848159476e-05,2.644399305609113,,tdp_proxy
4,chronos_cov,,0.3651582483550335,2.3888107641343798e-05,1.3650347223625028,,tdp_proxy
12,seasonal_naive,,0.7583229567409318,4.2919580462492173e-10,0.00011319449792305629,,tdp_proxy
12,lgbm_direct,,0.387596608812474,1.4268986949808229e-05,3.763249305443929,,tdp_proxy
12,nas_gru,42.0,0.5305424588115891,3.111111085571692e-07,0.017777777631838236,,tdp_proxy
12,nas_gru,43.0,0.5496856671559086,5.106111120767308e-07,0.029177777832956053,,tdp_proxy
12,nas_gru,44.0,0.5543136480501348,3.156562502226734e-07,0.018037500012724195,,tdp_proxy
12,nas_gru,45.0,0.545468837389624,3.47472224196584e-07,0.01985555566837623,,tdp_proxy
12,nas_gru,46.0,0.5780266448460012,3.4007118276551614e-07,0.01943263901517235,,tdp_proxy
12,chronos,,0.32751575238381464,1.7082284723023296e-05,0.9761305556013313,,tdp_proxy
12,chronos_cov,,0.35824947660106166,2.7203081596730444e-05,1.5544618055274542,,tdp_proxy
26,seasonal_naive,,0.7583229567409318,4.1076395131380265e-10,0.00010833334979704685,,tdp_proxy
26,lgbm_direct,,0.3866053067525447,1.3167507783072728e-05,3.4727493054257743,,tdp_proxy
26,nas_gru,42.0,0.4392921299409476,2.900017355184698e-07,0.01657152774391256,,tdp_proxy
26,nas_gru,43.0,0.5290406651939961,2.9308854335694275e-07,0.01674791676325387,,tdp_proxy
26,nas_gru,44.0,0.45420000219600326,3.8964236056118445e-07,0.022265277746353403,,tdp_proxy
26,nas_gru,45.0,0.4721818597794421,3.0763541594246313e-07,0.017579166625283606,,tdp_proxy
26,nas_gru,46.0,0.462444649526588,2.9972395572662614e-07,0.017127083184378635,,tdp_proxy
26,chronos,,0.32751575238381464,1.7059401039760913e-05,0.9748229165577666,,tdp_proxy
26,chronos_cov,,0.38087293685985935,2.3903201384251185e-05,1.3658972219572105,,tdp_proxy
52,seasonal_naive,,0.7583229567409318,5.898147079548195e-10,0.00015555552737269964,,tdp_proxy
52,lgbm_direct,,0.35527850386989573,1.4592418750499679e-05,3.8485500001317834,,tdp_proxy
52,nas_gru,42.0,0.38325072915811165,3.0870485968787556e-07,0.017640277696450032,,tdp_proxy
52,nas_gru,43.0,0.40282982581159926,3.781336772590293e-07,0.021607638700515963,,tdp_proxy
52,nas_gru,44.0,0.418255347759102,2.899895826481548e-07,0.016570833294180274,,tdp_proxy
52,nas_gru,45.0,0.36108005687569067,3.222430581849444e-07,0.018413889039139677,,tdp_proxy
52,nas_gru,46.0,0.34401678863631124,2.762447888926544e-07,0.015785416508151684,,tdp_proxy
52,chronos,,0.32751575238381464,1.8594953124243652e-05,1.0625687499567802,,tdp_proxy
52,chronos_cov,,0.34674281252406053,2.5793140623085894e-05,1.4738937498906226,,tdp_proxy
104,seasonal_naive,,0.7583229567409318,4.2392956082174485e-10,0.00011180559845848216,,tdp_proxy
104,lgbm_direct,,0.34709496937735973,1.4677407379331778e-05,3.870964583560029,,tdp_proxy
104,nas_gru,42.0,0.37792229572782193,3.788628477094689e-07,0.02164930558339822,,tdp_proxy
104,nas_gru,43.0,0.3842934658102046,4.0655902871043907e-07,0.02323194449773938,,tdp_proxy
104,nas_gru,44.0,0.3530785661731896,5.51335069253077e-07,0.031504861100175835,,tdp_proxy
104,nas_gru,45.0,0.3884520908136544,3.9828298592207527e-07,0.02275902776697573,,tdp_proxy
104,nas_gru,46.0,0.37036373273313683,2.9410937738955706e-07,0.016806250136546116,,tdp_proxy
104,chronos,,0.32751575238381464,1.835830208089343e-05,1.0490458331939105,,tdp_proxy
104,chronos_cov,,0.3520833655563045,2.836488715476864e-05,1.6208506945582082,,tdp_proxy
