train_weeks,model,seed,MASE,usd_per_1k,per_forecast_ms,measured_usd_per_1k,energy_source
4,seasonal_naive,,1.1172622550188986,4.555266404740568e-10,0.00012013889419096004,,tdp_proxy
4,lgbm_direct,,0.5791098693905705,1.3625975578945684e-05,3.5936638889527077,,tdp_proxy
4,nas_gru,42.0,0.9471708637995357,7.308923611364863e-07,0.0417652777792278,,tdp_proxy
4,nas_gru,43.0,0.8034436858032269,3.5939410155252615e-07,0.020536805803001497,,tdp_proxy
4,nas_gru,44.0,0.9739688326031796,3.593940980156024e-07,0.020536805600891564,,tdp_proxy
4,nas_gru,45.0,0.9510484733779655,2.827708342718122e-07,0.016158333386960697,,tdp_proxy
4,nas_gru,46.0,1.069962176947559,2.9334375009663444e-07,0.016762500005521968,,tdp_proxy
4,chronos,,0.7122038450130723,4.186177430533967e-05,2.3921013888765525,,tdp_proxy
4,chronos_cov,,0.741583016044613,2.4470918404201963e-05,1.3983381945258264,,tdp_proxy
12,seasonal_naive,,1.1172622550188986,4.449945360344524e-10,0.00011736119631677866,,tdp_proxy
12,lgbm_direct,,0.5904089978667892,1.3497419647335476e-05,3.559759027868697,,tdp_proxy
12,nas_gru,42.0,0.9639524918358724,3.0350347186766966e-07,0.01734305553529541,,tdp_proxy
12,nas_gru,43.0,0.9806471171021884,2.9623611024160507e-07,0.016927777728091717,,tdp_proxy
12,nas_gru,44.0,1.02149528621072,3.0322396292427183e-07,0.017327083595672674,,tdp_proxy
12,nas_gru,45.0,0.9873202809667978,2.9506944530213433e-07,0.016861111160121962,,tdp_proxy
12,nas_gru,46.0,0.9716075041599325,2.9769444230017443e-07,0.017011110988581397,,tdp_proxy
12,chronos,,0.7122038450130723,1.9108590276270354e-05,1.0919194443583062,,tdp_proxy
12,chronos_cov,,0.6692646047792008,2.371954861397777e-05,1.3554027779415871,,tdp_proxy
26,seasonal_naive,,1.1172622550188986,4.1866331701856793e-10,0.00011041669899390804,,tdp_proxy
26,lgbm_direct,,0.5711629381969031,1.3390992302826514e-05,3.531690277668531,,tdp_proxy
26,nas_gru,42.0,0.8578801107272724,3.2402951597355745e-07,0.01851597234134614,,tdp_proxy
26,nas_gru,43.0,0.8094341064170119,2.8068055472532347e-07,0.01603888884144706,,tdp_proxy
26,nas_gru,44.0,0.816350354959084,2.842170116916046e-07,0.016240972096663125,,tdp_proxy
26,nas_gru,45.0,0.8409204340245066,3.8046701421181847e-07,0.021740972240675345,,tdp_proxy
26,nas_gru,46.0,0.8296181799454339,2.793923610827025e-07,0.015965277776154432,,tdp_proxy
26,chronos,,0.7122038450130723,1.7780765624845822e-05,1.0160437499911898,,tdp_proxy
26,chronos_cov,,0.6450488283734749,2.3751838542820125e-05,1.3572479167325784,,tdp_proxy
52,seasonal_naive,,1.1172622550188986,4.0549770751062567e-10,0.00010694445033247273,,tdp_proxy
52,lgbm_direct,,0.5734818838965984,1.3933606135036894e-05,3.6747972224273124,,tdp_proxy
52,nas_gru,42.0,0.7109932301641282,3.8289756705328026e-07,0.021879860974473156,,tdp_proxy
52,nas_gru,43.0,0.6916886940855085,2.833298610009175e-07,0.016190277771481004,,tdp_proxy
52,nas_gru,44.0,0.7524976920319493,2.8221180754270685e-07,0.016126389002440393,,tdp_proxy
52,nas_gru,45.0,0.6941679792936479,3.7403819356364287e-07,0.021373611060779594,,tdp_proxy
52,nas_gru,46.0,0.7471691127082195,3.765781275433255e-07,0.021518750145332888,,tdp_proxy
52,chronos,,0.7122038450130723,1.888609722426635e-05,1.0792055556723628,,tdp_proxy
52,chronos_cov,,0.7164238601651352,2.530653124949822e-05,1.446087499971327,,tdp_proxy
