city,strategy,fraction,seed,MASE,n_train_hours
hanoi,nas_transfer,0.0,,0.5952706200930946,0
hanoi,nas_transfer,1.0,42,0.6096770189536402,59
hanoi,nas_transfer,1.0,43,0.6096770097976667,59
hanoi,nas_transfer,1.0,44,0.6096773528414765,59
hanoi,nas_transfer,1.0,45,0.6096768504837266,59
hanoi,nas_transfer,1.0,46,0.6096771294357213,59
hanoi,lgbm_refit,10.0,,0.8375347276818577,591
hanoi,nas_transfer,10.0,42,0.6692736244887676,591
hanoi,nas_transfer,10.0,43,0.7106172204948537,591
hanoi,nas_transfer,10.0,44,0.6019630428557592,591
hanoi,nas_transfer,10.0,45,0.6002989245161504,591
hanoi,nas_transfer,10.0,46,0.6345374093420253,591
hanoi,lgbm_refit,100.0,,0.6796625329258861,5918
hanoi,nas_transfer,100.0,42,0.7435058425787995,5918
hanoi,nas_transfer,100.0,43,0.6622604158846066,5918
hanoi,nas_transfer,100.0,44,0.6477924247898511,5918
hanoi,nas_transfer,100.0,45,0.6966122142255277,5918
hanoi,nas_transfer,100.0,46,0.6922252489237359,5918
jakarta,chronos_zeroshot,,,0.826658041357239,6880
jakarta,nas_transfer,0.0,,0.8980497319322635,0
jakarta,nas_transfer,1.0,42,0.8445879399264399,68
jakarta,nas_transfer,1.0,43,0.8445878719820638,68
jakarta,nas_transfer,1.0,44,0.8445880948727609,68
jakarta,nas_transfer,1.0,45,0.8445881073016102,68
jakarta,nas_transfer,1.0,46,0.8445878926968127,68
jakarta,lgbm_refit,10.0,,0.8432355194005108,688
jakarta,nas_transfer,10.0,42,0.741038244110143,688
jakarta,nas_transfer,10.0,43,0.7650199068248426,688
jakarta,nas_transfer,10.0,44,0.751223877497658,688
jakarta,nas_transfer,10.0,45,0.7375995328370887,688
jakarta,nas_transfer,10.0,46,0.7570717612853718,688
jakarta,lgbm_refit,100.0,,0.6916085715720024,6880
jakarta,nas_transfer,100.0,42,0.7467999097990061,6880
jakarta,nas_transfer,100.0,43,0.7370831174639519,6880
jakarta,nas_transfer,100.0,44,0.7482242045536759,6880
jakarta,nas_transfer,100.0,45,0.7126505286401408,6880
jakarta,nas_transfer,100.0,46,0.7405943361579237,6880
kampala,chronos_zeroshot,,,0.806179438124196,2692
kampala,nas_transfer,0.0,,0.8517876478408329,0
kampala,nas_transfer,1.0,42,0.9733969594832883,49
kampala,nas_transfer,1.0,43,0.9733969594832883,49
kampala,nas_transfer,1.0,44,0.9733969594832883,49
kampala,nas_transfer,1.0,45,0.9733969594832883,49
kampala,nas_transfer,1.0,46,0.9733969594832883,49
kampala,lgbm_refit,10.0,,0.9786660606823834,269
kampala,nas_transfer,10.0,42,0.8193104608748433,269
kampala,nas_transfer,10.0,43,0.8085444684251877,269
kampala,nas_transfer,10.0,44,0.8063512181714432,269
kampala,nas_transfer,10.0,45,0.8065201940888239,269
kampala,nas_transfer,10.0,46,0.8077712032275091,269
kampala,lgbm_refit,100.0,,0.898162252706558,2692
kampala,nas_transfer,100.0,42,0.851514696478779,2692
kampala,nas_transfer,100.0,43,0.8620736776762912,2692
kampala,nas_transfer,100.0,44,0.8378481567563136,2692
kampala,nas_transfer,100.0,45,0.8530879732755018,2692
kampala,nas_transfer,100.0,46,0.850781937741294,2692
karachi,chronos_zeroshot,,,0.2368250861930988,5070
karachi,nas_transfer,0.0,,0.2785303534458947,0
karachi,nas_transfer,1.0,42,0.29883270457551137,50
karachi,nas_transfer,1.0,43,0.2988352015790616,50
karachi,nas_transfer,1.0,44,0.29883492576146514,50
karachi,nas_transfer,1.0,45,0.29883492332060146,50
