model,seed,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,energy_j_per_1k,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
seasonal_naive,,6.9299,8.4462,0.7583,1.7276,75.9205,0.0,0.0,0.04,0.0,2.44,1e-07,0.89,0.0,codecarbon,0
lgbm_direct,,3.3079,4.2513,0.362,0.8696,38.2136,1.001,6.951,632.51,2.6e-05,10869.74,0.00045291,2675.25,7021.78,codecarbon,186000
nas_gru,42.0,3.4548,4.4234,0.3781,0.9048,39.7611,0.01,0.07,29.31,1e-06,7631.69,0.00031799,57.31,7085.92,codecarbon,157080
chronos,,2.993,3.7612,0.3275,0.7693,33.8088,0.388,2.695,1132.06,4.7e-05,1222.27,5.093e-05,22.71,1027.57,codecarbon,47718016
chronos_cov,,3.1965,4.0114,0.3498,0.8205,36.0576,0.303,2.106,884.56,3.7e-05,867.61,3.615e-05,5.76,740.97,codecarbon,47718016
