model,seed,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,energy_j_per_1k,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
seasonal_naive,,70.6146,95.2828,1.1728,3.7713,343.964,0.0,0.0,0.04,0.0,1.57,7e-08,0.0,0.0,codecarbon,0
lgbm_direct,,26.3424,31.3251,0.4375,1.2398,113.0813,1.052,7.303,664.6,2.8e-05,13579.23,0.0005658,3484.95,8634.36,codecarbon,186000
nas_gru,42.0,40.7726,46.5953,0.6772,1.8442,168.2056,0.011,0.078,32.81,1e-06,9367.11,0.0003903,122.51,8384.72,codecarbon,155928
chronos,,13.6715,20.865,0.2271,0.8258,75.321,0.588,4.085,1715.51,7.1e-05,1138.56,4.744e-05,11.69,969.74,codecarbon,47718016
chronos_cov,,20.9854,29.5094,0.3485,1.168,106.5268,0.368,2.554,1072.76,4.5e-05,681.35,2.839e-05,5.22,557.76,codecarbon,47718016
