model,seed,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,energy_j_per_1k,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
seasonal_naive,,6.8588,9.0648,1.06,1.4699,41.2296,0.0,0.001,0.05,0.0,2.35,1e-07,0.84,0.0,codecarbon,0
lgbm_direct,,4.2284,6.0564,0.6535,0.982,27.5466,1.004,6.972,634.46,2.6e-05,8315.03,0.00034646,2458.01,4820.25,codecarbon,186000
nas_gru,42.0,4.362,6.1191,0.6741,0.9922,27.8318,0.007,0.051,21.5,1e-06,7208.43,0.00030035,31.4,6701.28,codecarbon,157080
chronos,,4.1145,5.7072,0.6359,0.9254,25.9582,0.45,3.124,1312.18,5.5e-05,1068.07,4.45e-05,6.37,916.64,codecarbon,47718016
chronos_cov,,3.892,5.6901,0.6015,0.9227,25.8806,0.285,1.98,831.68,3.5e-05,789.92,3.291e-05,4.92,673.49,codecarbon,47718016
