model,seed,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,energy_j_per_1k,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
seasonal_naive,,6.9299,8.4462,0.7583,1.7276,75.9205,0.0,0.001,0.05,0.0,3.57,1.5e-07,1.75,0.0,codecarbon,0
lgbm_direct,,3.3079,4.2513,0.362,0.8696,38.2136,1.017,7.06,642.43,2.7e-05,11456.95,0.00047737,2531.36,7645.85,codecarbon,186000
nas_gru,42.0,3.4548,4.4234,0.3781,0.9048,39.7611,0.011,0.073,30.84,1e-06,7897.7,0.00032907,56.37,7331.07,codecarbon,157080
chronos,,2.993,3.7612,0.3275,0.7693,33.8088,0.458,3.184,1337.09,5.6e-05,1033.22,4.305e-05,7.89,878.49,codecarbon,47718016
chronos_cov,,3.1965,4.0114,0.3498,0.8205,36.0576,0.321,2.227,935.41,3.9e-05,625.48,2.606e-05,8.08,503.08,codecarbon,47718016
