model,seed,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,energy_j_per_1k,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
seasonal_naive,,70.6146,95.2828,1.1728,3.7713,343.964,0.0,0.001,0.05,0.0,2.39,1e-07,0.83,0.0,codecarbon,0
lgbm_direct,,26.3424,31.3251,0.4375,1.2398,113.0813,1.117,7.757,705.92,2.9e-05,15760.63,0.00065669,3445.97,10656.18,codecarbon,186000
nas_gru,42.0,40.7726,46.5953,0.6772,1.8442,168.2056,0.01,0.068,28.44,1e-06,13941.1,0.00058088,168.64,12887.86,codecarbon,155928
chronos,,13.6715,20.865,0.2271,0.8258,75.321,0.384,2.667,1120.29,4.7e-05,1087.54,4.531e-05,4.42,946.97,codecarbon,47718016
chronos_cov,,20.9854,29.5094,0.3485,1.168,106.5268,0.359,2.492,1046.58,4.4e-05,767.43,3.198e-05,4.61,643.24,codecarbon,47718016
