model,seed,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,energy_j_per_1k,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
seasonal_naive,,70.6146,95.2828,1.1728,3.7713,343.964,0.0,0.0,0.03,0.0,1.05,4e-08,0.0,0.0,codecarbon,0
lgbm_direct,,26.3424,31.3251,0.4375,1.2398,113.0813,0.434,3.014,274.25,1.1e-05,3222.24,0.00013426,1397.49,972.2,codecarbon,186000
chronos,,13.6715,20.865,0.2271,0.8258,75.321,0.488,3.391,1424.4,5.9e-05,526.7,2.195e-05,15.33,361.4,codecarbon,47718016
chronos_cov,,20.9854,29.5094,0.3485,1.168,106.5268,0.213,1.483,622.68,2.6e-05,758.2,3.159e-05,9.52,647.97,codecarbon,47718016
timesfm,,9.1788,14.1124,0.1524,0.5586,50.9446,1.092,7.584,3185.26,0.000133,1146.18,4.776e-05,127.78,766.63,codecarbon,231289280
timesfm_cov,,19.5182,26.0017,0.3242,1.0291,93.8641,1.126,7.821,3284.91,0.000137,1064.87,4.437e-05,67.61,754.13,codecarbon,231289280
