model,seed,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,energy_j_per_1k,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
seasonal_naive,,70.6146,95.2828,1.1728,3.7713,343.964,0.0,0.0,0.04,0.0,2.31,1e-07,0.0,0.0,codecarbon,0
lgbm_direct,,26.3424,31.3251,0.4375,1.2398,113.0813,1.021,7.091,645.27,2.7e-05,13892.19,0.00057884,3316.22,8845.6,codecarbon,186000
nas_gru,42.0,40.7726,46.5953,0.6772,1.8442,168.2056,0.009,0.059,24.97,1e-06,12416.07,0.00051734,221.68,11291.9,codecarbon,155928
chronos,,13.6715,20.865,0.2271,0.8258,75.321,0.468,3.25,1365.16,5.7e-05,1657.71,6.907e-05,13.25,1491.95,codecarbon,47718016
chronos_cov,,20.9854,29.5094,0.3485,1.168,106.5268,0.32,2.219,931.88,3.9e-05,641.28,2.672e-05,5.75,522.99,codecarbon,47718016
