model,seed,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,energy_j_per_1k,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
seasonal_naive,,6.8588,9.0648,1.06,1.4699,41.2296,0.0,0.001,0.06,0.0,39.98,1.67e-06,0.83,37.62,codecarbon,0
lgbm_direct,,4.2284,6.0564,0.6535,0.982,27.5466,0.973,6.755,614.72,2.6e-05,9601.5,0.00040006,2411.94,6136.81,codecarbon,186000
nas_gru,42.0,4.362,6.1191,0.6741,0.9922,27.8318,0.006,0.04,16.84,1e-06,7180.2,0.00029918,67.04,6641.83,codecarbon,157080
chronos,,4.1145,5.7072,0.6359,0.9254,25.9582,0.459,3.191,1340.15,5.6e-05,5416.78,0.0002257,80.95,4490.89,codecarbon,47718016
chronos_cov,,3.892,5.6901,0.6015,0.9227,25.8806,0.333,2.312,971.24,4e-05,1034.15,4.309e-05,3.62,885.7,codecarbon,47718016
