city,tier,variable,lead_day,lead_hours_mid,n,mae,rmse,bias,sd,err_ar1,actual_sd
accra,scarce,temperature_2m,1,36,768,1.0032552083333333,1.258838543724598,0.9350260416666666,0.8428527632818389,0.847549404080646,2.02464088636056
accra,scarce,temperature_2m,2,60,744,1.0236559139784946,1.3229264562333578,0.8776881720430108,0.9898474030162168,0.8938051639828495,2.019351618053703
accra,scarce,temperature_2m,3,84,720,0.944861111111111,1.2039575943067466,0.8923611111111112,0.8082113190653989,0.8363348130653487,2.0257284164675062
amsterdam,rich,relative_humidity_2m,1,36,12024,4.170409181636726,5.951826178880405,0.21665003326679974,5.947881776455516,0.4068015701371775,16.19865836174364
amsterdam,rich,relative_humidity_2m,2,60,12024,10.353709248170325,12.686168541190403,8.813622754491018,9.124632934918926,0.817853093106487,16.19865836174364
amsterdam,rich,relative_humidity_2m,3,84,12024,10.724301397205588,13.194313302566405,8.828592814371257,9.805399147628462,0.8325571006233131,16.19865836174364
amsterdam,rich,surface_pressure,1,36,12024,0.7268296739853625,2.3054622863882956,-0.010179640718562429,2.305439812459564,0.9875089844161755,9.42924534599867
amsterdam,rich,surface_pressure,2,60,12024,0.8987192282102462,2.405066107346169,-0.09911842980705277,2.403022787569406,0.9894440510121064,9.42924534599867
amsterdam,rich,surface_pressure,3,84,12024,1.3730622089155033,2.7648138771202,-0.03961244178309961,2.7645300919997986,0.9826474544020033,9.42924534599867
amsterdam,rich,wind_speed_10m,1,36,12024,2.818770791749834,3.7267454840464955,1.381279108449767,3.461314768613389,0.43448430913308517,5.954667144260547
amsterdam,rich,wind_speed_10m,2,60,12024,3.419710578842315,4.3158136550354,-1.713656021290752,3.961013828009689,0.6894221489530449,5.954667144260547
amsterdam,rich,wind_speed_10m,3,84,12024,3.7360279441117763,4.768886882959349,-1.7397205588822358,4.440231354272457,0.7424963107587546,5.954667144260547
amsterdam,rich,wind_direction_10m,1,36,12024,17.461743180306055,28.615409310951097,3.041583499667332,28.453302441857574,0.27867506150207333,98.21858237875526
