domain,n_cities,mean_lgbm_perfect,mean_lgbm_causal,mean_chronos,foresight_mase_gain,foresight_wilcoxon_p,lgbm_perfect_beats_chronos_cities,lgbm_perfect_vs_chronos_p,lgbm_causal_beats_chronos_cities,lgbm_causal_vs_chronos_p
pm25,29,0.662,0.692,0.662,0.03,0.06551516801118851,10/29,0.32500122487545013,8/29,0.08367564529180527
weather,29,0.533,0.745,0.792,0.212,2.60770320892334e-08,26/29,1.3820827007293701e-06,16/29,0.2941182516515255
