domain,city,model_a,model_b,n_obs,mean_loss_diff,dm_p,dm_significant,mbb12_lo,mbb12_hi,mbb12_significant,mbb24_lo,mbb24_hi,mbb24_significant,mbb48_lo,mbb48_hi,mbb48_significant,fold_mean_diff,fold_t_p,fold_sign_p,fold_n_favouring_a,fold_significant
weather,accra,lgbm_direct,chronos,144,0.043090545584995844,0.5187145415238527,False,-0.05039455456604505,0.1383011275991002,False,-0.07150105771453703,0.15073501292687988,False,-0.08794592868752195,0.10337557367353906,False,0.04309054558499586,0.56489152673924,1.0,3,False
weather,addis_ababa,lgbm_direct,chronos,144,-0.6346000751411133,0.02888444802725781,True,-1.1419337155256304,-0.26580525510191816,True,-1.0514878305823285,-0.25433670275394993,True,-0.9039648878909357,-0.2631502575783195,True,-0.6346000751411133,0.09239171939638698,0.03125,6,False
weather,amsterdam,lgbm_direct,chronos,144,0.5897867356477682,0.04821516947243279,True,0.08373755468432753,0.9312924910500612,True,0.03705237052671665,0.7785702322733316,True,-0.04029249584998791,0.6987630045187572,False,0.5897867356477682,0.10245041321325829,0.6875,2,False
weather,bangkok,lgbm_direct,chronos,144,0.13530834630722924,0.3660596458106026,False,-0.06061370876608938,0.3800156569437365,False,-0.0675512121400226,0.4315047924056557,False,0.014004674101535226,0.4725212623729577,True,0.13530834630722924,0.40329376612219664,0.6875,2,False
weather,berlin,lgbm_direct,chronos,144,0.1355578567680712,0.8160868456398667,False,-0.642303615370873,1.0615619040746829,False,-0.4478533338528951,1.317826373865077,False,-0.34624260538840773,1.5072088669654735,False,0.1355578567680712,0.8296139108351678,1.0,3,False
weather,bogota,lgbm_direct,chronos,144,-0.2538302397119278,0.0049273490087104336,True,-0.3948622627708096,-0.07673463015677187,True,-0.31023724507501005,-0.09515362590078606,True,-0.2429173590423408,-0.16362358197749768,True,-0.2538302397119278,0.04460002008825452,0.21875,5,True
weather,delhi,lgbm_direct,chronos,144,-0.45416681723645247,0.21683329214496297,False,-0.8844911723811164,0.025693685739334136,False,-0.9852883442905181,0.13674782199706298,False,-0.8410336439495423,0.12770157066187876,False,-0.4541668172364524,0.26004250207289364,1.0,3,False
weather,dhaka,lgbm_direct,chronos,144,-0.06795011153839695,0.5127544602784913,False,-0.3014378398355095,0.13548001053191563,False,-0.26728343447718417,0.0950534311878574,False,-0.19930483769271276,0.08592321009159216,False,-0.06795011153839695,0.568402541529827,1.0,3,False
weather,hanoi,lgbm_direct,chronos,144,0.12048471302012792,0.036324519954067803,True,0.04608413596452569,0.26712121711322906,True,0.06107735907287735,0.23714524862640074,True,0.08208207881003825,0.20992426626238606,True,0.12048471302012792,0.10168903937877571,0.21875,1,False
weather,jakarta,lgbm_direct,chronos,144,0.046294320193397756,0.49281233936882385,False,-0.07423402243162358,0.11700982193136059,False,-0.08903905552950171,0.11321052696333939,False,-0.10754167724825592,0.08092879675418209,False,0.04629432019339776,0.48273609265522893,0.6875,2,False
weather,kampala,lgbm_direct,chronos,144,-0.464787230427093,0.319973897537,False,-1.326676679392217,0.08562768908733236,False,-1.5168370894055727,0.06828151368825512,False,-1.1752743870211824,0.013178241160182794,False,-0.464787230427093,0.3500173609312322,0.6875,4,False
weather,karachi,lgbm_direct,chronos,144,0.04129536983922414,0.2616481924514006,False,-0.002702148203265524,0.1007670778101708,False,-0.003423303631709372,0.092195212865946,False,-0.00499751701576926,0.08095308942289747,False,0.04129536983922414,0.32518593689174313,0.6875,2,False
weather,krakow,lgbm_direct,chronos,144,0.12471644611325382,0.3292381878986981,False,-0.11655721972173712,0.4061580954468744,False,-0.06083288730785729,0.36395813796791354,False,0.01686689716958963,0.26168426527350536,True,0.12471644611325383,0.23756465080420974,1.0,3,False
weather,lagos,lgbm_direct,chronos,144,0.04695512099748103,0.3825504244717516,False,-0.051079176246594304,0.11578979039404838,False,-0.04766149825533807,0.11158471804312588,False,-0.05613495562153642,0.09646251710293763,False,0.04695512099748103,0.4920176229207033,1.0,3,False
weather,lahore,lgbm_direct,chronos,144,0.18395274661847927,0.03704030653618604,True,0.03622269238854106,0.3130576421434369,True,0.010097758352052998,0.29976164947220574,True,-0.006228108965967892,0.3179861069227827,False,0.18395274661847927,0.06081729827348491,0.21875,1,False
weather,lima,lgbm_direct,chronos,144,-0.06626809925124942,0.01997382701609332,True,-0.09972302052053295,-0.023971156547800205,True,-0.10170140829440026,-0.0191409487498685,True,-0.09551993228851895,-0.04561498152288688,True,-0.06626809925124942,0.03861724835534814,0.21875,5,True
weather,los_angeles,lgbm_direct,chronos,144,-0.7334093106369026,0.4511253909910634,False,-2.522093153935023,0.29092842025059185,False,-2.761021005597638,0.4382021199057039,False,-3.0065826663460378,0.10445064880530053,False,-0.7334093106369025,0.4531151160375377,1.0,3,False
weather,madrid,lgbm_direct,chronos,144,0.5244651017414257,0.17637395170913137,False,-0.09445603425457431,1.0904599192373217,False,-0.22031917199308765,0.9436735649792024,False,-0.2758829106408968,0.665893040107949,False,0.5244651017414257,0.24898132569370468,0.21875,1,False
weather,manila,lgbm_direct,chronos,144,-0.07202249429919523,0.20116676668414096,False,-0.18113624334813738,-0.0025607630719780383,True,-0.17854413681890244,-0.022780336051501406,True,-0.1663558002080433,-0.07506027194536966,True,-0.07202249429919523,0.2889435061825203,0.6875,4,False
weather,mexico_city,lgbm_direct,chronos,144,-0.378221169725969,0.38265806423236315,False,-1.1730659470288698,0.07069022989094159,False,-1.310950775694592,0.15066980897643303,False,-1.1848769912468382,0.16390424144459492,False,-0.378221169725969,0.3839703745692022,0.6875,2,False
weather,mumbai,lgbm_direct,chronos,144,-0.20294998597701602,0.06740578237807958,False,-0.41256553365732707,-0.029480618919382775,True,-0.4064221852687627,-0.02491346643802975,True,-0.3934063090778405,-0.13280656429879018,True,-0.202949985977016,0.11767383868980955,0.21875,5,False
weather,nairobi,lgbm_direct,chronos,144,-0.005150324169614005,0.9003375319945851,False,-0.06235538839489399,0.08341628915497191,False,-0.05377559860971881,0.07123130229050932,False,-0.03685927168945928,0.06349251769574808,False,-0.005150324169614002,0.9002573928771216,1.0,3,False
weather,new_york,lgbm_direct,chronos,144,-0.10097588831637566,0.6274972129004639,False,-0.4680723537771453,0.19857370029961094,False,-0.47110990701845845,0.15463772113186902,False,-0.4643542074456222,0.06059756944837596,False,-0.10097588831637568,0.6380172182733607,0.6875,4,False
weather,paris,lgbm_direct,chronos,144,0.7483279123593677,0.036692712524156706,True,0.3135778443565644,1.3665773097572453,True,0.3270361578715676,1.4028510627191002,True,0.5270368476666251,1.4311916710965966,True,0.7483279123593675,0.08917451114504024,0.21875,1,False
weather,santiago,lgbm_direct,chronos,144,-0.6570299983839933,0.20866207807550236,False,-1.5752089368503224,0.1455745466322448,False,-1.6684080289221241,0.17234042131296828,False,-1.3603355745763719,-0.32353499942600344,True,-0.6570299983839933,0.2579255077449458,0.21875,5,False
