city,tier,model,n_hours,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,usd_per_1k
accra,scarce,seasonal_naive,8160,7.75,12.257650672131263,0.9812658974255635,1.1577616425324404,68.7880630080632,5.160872947103429e-10
accra,scarce,lgbm_direct,8160,6.311963951365594,9.932159536408399,0.7991890285489761,0.9381139703149219,55.73776201258026,1.913066721750443e-05
accra,scarce,nas_gru,8160,7.664655619197422,10.330691231336443,0.9704600225328576,0.9757561516808969,57.97426100204396,6.542083277357353e-07
accra,scarce,chronos,8160,5.612976107332441,10.065579502117956,0.710686714476105,0.9507157749166565,56.486494477980735,4.578341494177747e-05
accra,scarce,chronos_cov,8160,6.602101428018447,10.918189529866446,0.8359247719560149,1.0312466378502867,61.27121170306969,2.684823264038035e-05
addis_ababa,scarce,seasonal_naive,3610,19.53935185185185,24.20107703449641,2.534366926199603,1.6279535770496016,62.712886322970725,4.555270236408062e-10
addis_ababa,scarce,lgbm_direct,3610,12.131024703671562,15.45532325714888,1.573464054642208,1.0396458283682735,40.0497849384459,1.591030728786791e-05
addis_ababa,scarce,nas_gru,3610,14.66214088598887,18.825748425244672,1.9017644602785202,1.26636696564487,48.7836561676306,3.2861111625000675e-07
addis_ababa,scarce,chronos,3610,12.657773673534393,16.12700218336427,1.6417864420863724,1.084828202235459,41.79032417499468,1.9625131951923122e-05
addis_ababa,scarce,chronos_cov,3610,12.874711839728008,16.043456807845132,1.6699245767389495,1.0792082873561144,41.573830849913605,2.617673090551559e-05
amsterdam,rich,seasonal_naive,11228,4.518740079365079,6.479121516273479,0.813663577873374,4.417503386969963,163.23631785698458,4.265626827233332e-10
amsterdam,rich,lgbm_direct,11228,1.4340119565750815,1.7538715129218718,0.25821429841214144,1.1957999752254491,44.18739902385569,1.6826813686108192e-05
amsterdam,rich,nas_gru,11228,3.645500922688732,4.185000692506714,0.6564244173814877,2.853358234937558,105.43776676481329,2.8736457857626694e-07
amsterdam,rich,chronos,11228,1.3517225271463393,1.6841067571653212,0.2433969133901738,1.148233951950283,42.429731442334365,1.8219310769483043e-05
amsterdam,rich,chronos_cov,11228,1.5838629584693247,1.9128946693625055,0.28519710782531565,1.3042229042319102,48.19386107988677,2.7068161457969433e-05
bangkok,rich,seasonal_naive,18164,3.6670138888888886,4.798104270547836,0.5227407046291355,2.040272748493918,48.42493797020524,6.714414869040612e-10
bangkok,rich,lgbm_direct,18164,1.6141124141483765,1.9182444441862974,0.23009519087974295,0.8156850380361372,19.359910286152704,1.7047091088291682e-05
bangkok,rich,nas_gru,18164,3.1248711824417117,3.6137845993807414,0.4454570975949624,1.5366706976965494,36.47217425783759,3.1011458910749445e-07
bangkok,rich,chronos,18164,1.1384245011541578,1.4975052291700552,0.16228485736134288,0.6367763052914966,15.113593566056066,2.087720833211885e-05
bangkok,rich,chronos_cov,18164,4.8628239500682,5.97804055356332,0.6932059968052959,2.5420108741059373,60.33346227313696,2.8599958324977908e-05
