city,country,tier,sensor_id,first,last,years,station
Seoul,KR,rich,8533919,2024-03,2026-07,2.3,홍릉로
Nairobi,KE,scarce,16091678,2019-08,2023-02,3.5,"Nairobi, University of Nairobi, Parklands Campus, GEOHealth"
