model,seed,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,energy_j_per_1k,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
seasonal_naive,,90.7902,120.0908,1.5114,1.597,191.9396,0.0,0.0,0.03,0.0,1.29,5e-08,0.34,0.0,codecarbon,0
lgbm_direct,,24.0813,34.9065,0.4009,0.4642,55.7907,2.77,8.245,750.28,3.1e-05,4505.15,0.00018771,1079.44,2563.03,codecarbon,186000
nas_gru,42.0,38.0193,53.0276,0.6329,0.7052,84.7534,0.015,0.044,18.34,1e-06,3069.26,0.00012789,44.27,2621.15,codecarbon,155928
nas_gru,43.0,38.4781,54.9947,0.6405,0.7314,87.8974,0.011,0.033,13.83,1e-06,2605.93,0.00010858,32.1,2197.14,codecarbon,155928
nas_gru,44.0,37.6579,53.4136,0.6269,0.7103,85.3703,0.011,0.034,14.18,1e-06,2556.98,0.00010654,47.41,2142.04,codecarbon,155928
nas_gru,45.0,37.1051,53.4394,0.6177,0.7107,85.4115,0.01,0.03,12.56,1e-06,2544.39,0.00010602,25.26,2145.22,codecarbon,155928
nas_gru,46.0,38.1578,53.8725,0.6352,0.7164,86.1038,0.013,0.039,16.28,1e-06,2544.27,0.00010601,30.66,2141.28,codecarbon,155928
chronos,,26.1654,43.6023,0.4356,0.5799,69.689,1.1,3.275,1375.32,5.7e-05,458.33,1.91e-05,8.02,363.2,codecarbon,47718016
chronos_cov,,32.9404,45.9271,0.5483,0.6108,73.4048,1.058,3.15,1322.94,5.5e-05,249.65,1.04e-05,3.57,173.18,codecarbon,47718016
