series,model,n_hours,mean_load,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,per_forecast_ms,usd_per_1k,measured_usd_per_1k,energy_source
pm25:Aotizhongxin,seasonal_naive,34601,82.91326770701086,70.61458333333333,95.28280173829255,1.1728142320575958,3.771261999291577,343.9639872227156,0.000130555640175266,4.950234689978835e-10,,tdp_proxy
pm25:Aotizhongxin,lgbm_direct,34601,82.91326770701086,25.269470667142894,30.455615418142784,0.41969227085982674,1.2054232557828095,109.94255753854502,4.885685416613544,1.852489053799302e-05,,tdp_proxy
pm25:Aotizhongxin,chronos,34601,82.91326770701086,13.67153655158149,20.864954837829842,0.22706602354504768,0.8258280598524799,75.3209700839182,4.460156249984316,7.805273437472554e-05,,tdp_proxy
pm25:Aotizhongxin,chronos_cov,34601,82.91326770701086,20.985397855280755,29.50941331507862,0.34853952410770983,1.1679728873024966,106.52683673530512,2.1408500000082618,3.746487500014458e-05,,tdp_proxy
pm25:Changping,seasonal_naive,34741,71.23420596152964,56.770833333333336,79.82026733330636,1.0638477799262385,4.485808286718297,325.61242198289284,0.0001673611728215797,6.345777802818229e-10,,tdp_proxy
pm25:Changping,lgbm_direct,34741,71.23420596152964,19.126460894647266,24.656020764523078,0.35841719710443765,1.3856403387018648,100.57980141901766,4.552370138804286,1.7261070109632915e-05,,tdp_proxy
pm25:Changping,chronos,34741,71.23420596152964,8.91867995262146,13.334347029536008,0.1671301495921143,0.7493751449528305,54.395070035501,1.5076159723119216,2.6383279515458625e-05,,tdp_proxy
pm25:Changping,chronos_cov,34741,71.23420596152964,12.461213767037629,15.4165449666591,0.23351488471925302,0.8663923020356543,62.889021960309066,2.1957451387303686,3.842553992778145e-05,,tdp_proxy
pm25:Dingling,seasonal_naive,34853,66.44342492618375,54.010416666666664,76.52394500383927,1.025498019803253,4.079668181667352,352.848161400988,0.00016597227335700559,6.293115364786462e-10,,tdp_proxy
pm25:Dingling,lgbm_direct,34853,66.44342492618375,15.370569182225056,20.135587252445234,0.2918416341221962,1.0734746441635517,92.84420635133249,4.5520472221040915,1.725984571714468e-05,,tdp_proxy
pm25:Dingling,chronos,34853,66.44342492618375,8.868285973866781,12.772834477451198,0.1683825133469503,0.68094929508335,58.894914017066036,1.3653569443097997,2.3893746525421497e-05,,tdp_proxy
pm25:Dingling,chronos_cov,34853,66.44342492618375,11.900452155455888,15.880697619389798,0.22595437831004886,0.8466366544126098,73.2251187061201,1.8542368056336676,3.244914409858918e-05,,tdp_proxy
pm25:Dongsi,seasonal_naive,34832,86.10748604082896,73.0925925925926,95.2337232131404,1.1573448149277517,3.3827272132015134,314.7499688476525,0.00016250002469557026,6.16145926970704e-10,,tdp_proxy
pm25:Dongsi,lgbm_direct,34832,86.10748604082896,27.07958192561053,31.683351540695885,0.42877687902936323,1.1254010853095981,104.71431310213926,4.640063888877598,1.7593575578660887e-05,,tdp_proxy
pm25:Dongsi,chronos,34832,86.10748604082896,14.074349111980862,20.252672698762275,0.22285260914229515,0.719380328382599,66.93561782469057,1.4952138890294009,2.6166243058014514e-05,,tdp_proxy
pm25:Dongsi,chronos_cov,34832,86.10748604082896,19.53464672768163,27.11940841806799,0.3093107153517345,0.9632886100274488,89.63036061973355,2.188697916608362,3.8302213540646334e-05,,tdp_proxy
pm25:Guanyuan,seasonal_naive,34882,82.99402238366635,73.35243055555556,96.79611147241688,1.2427238428760439,3.910607745861962,333.9596298778804,0.00012013889419096004,4.555266404740568e-10,,tdp_proxy
pm25:Guanyuan,lgbm_direct,34882,82.99402238366635,23.709923422739642,28.099288426423236,0.40168930909368655,1.1352242698808528,96.94633203725537,4.6704555555455345,1.7708810648110153e-05,,tdp_proxy
pm25:Guanyuan,chronos,34882,82.99402238366635,13.208080424202812,17.077122911264173,0.22376895131442928,0.6899236768706014,58.91837554290604,1.5492465279546903,2.7111814239207077e-05,,tdp_proxy
pm25:Guanyuan,chronos_cov,34882,82.99402238366635,19.299076578938312,24.657401477404132,0.3269615257257596,0.9961704426302526,85.07135819697383,2.2953194445815623,4.016809028017734e-05,,tdp_proxy
pm25:Gucheng,seasonal_naive,34962,84.03609270180642,70.60416666666667,94.4774574654494,1.1836321581018456,4.4915358610434915,344.5113668023478,0.00015972222576642202,6.056134393643501e-10,,tdp_proxy
pm25:Gucheng,lgbm_direct,34962,84.03609270180642,18.401640027929616,23.38577076932241,0.3084913246225549,1.111778733958488,85.27604433482975,4.495045833108533,1.7043715450536518e-05,,tdp_proxy
pm25:Gucheng,chronos,34962,84.03609270180642,10.475844012366402,13.823430223460495,0.17562059637125582,0.6571772170521325,50.40703854591824,1.333815972227765,2.3341779513985884e-05,,tdp_proxy
pm25:Gucheng,chronos_cov,34962,84.03609270180642,21.454520032927082,27.638053368490056,0.3596708387977021,1.3139357383681098,100.78196214389891,2.205574305359429,3.8597550343790014e-05,,tdp_proxy
