model,seed,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,energy_j_per_1k,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
seasonal_naive,,70.6146,95.2828,1.1728,3.7713,343.964,0.0,0.0,0.04,0.0,2.16,9e-08,0.83,0.0,codecarbon,0
lgbm_direct,,26.3424,31.3251,0.4375,1.2398,113.0813,0.949,6.59,599.7,2.5e-05,22203.92,0.00092516,7067.73,12043.52,codecarbon,186000
nas_gru,42.0,40.7726,46.5953,0.6772,1.8442,168.2056,0.008,0.052,21.97,1e-06,13296.41,0.00055402,118.47,12335.27,codecarbon,155928
nas_gru,43.0,33.5385,39.5696,0.557,1.5662,142.8435,0.006,0.044,18.41,1e-06,13635.81,0.00056816,108.26,12704.7,codecarbon,155928
nas_gru,44.0,32.7571,41.3839,0.5441,1.638,149.3928,0.007,0.047,19.58,1e-06,14348.24,0.00059784,97.47,13350.74,codecarbon,155928
nas_gru,45.0,27.3517,34.8555,0.4543,1.3796,125.8257,0.003,0.021,9.02,0.0,14626.55,0.00060944,149.58,13513.02,codecarbon,155928
nas_gru,46.0,29.9341,38.6254,0.4972,1.5288,139.435,0.004,0.027,11.19,0.0,13885.38,0.00057856,101.69,12935.76,codecarbon,155928
chronos,,13.6715,20.865,0.2271,0.8258,75.321,0.375,2.603,1093.36,4.6e-05,1065.37,4.439e-05,9.71,917.91,codecarbon,47718016
chronos_cov,,20.9854,29.5094,0.3485,1.168,106.5268,0.264,1.832,769.58,3.2e-05,802.11,3.342e-05,6.35,688.47,codecarbon,47718016
