model,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,energy_j_per_1k,usd_per_1k,n_params
seasonal_naive,80.3993,104.3566,1.3369,2.3707,237.7275,0.0,0.0,0.01,0.0,0
lgbm_direct,22.6649,29.5765,0.3769,0.6719,67.3761,1.988,6.904,628.24,2.6e-05,0
nas_gru,40.3844,53.6861,0.6715,1.2196,122.2986,0.019,0.065,27.48,1e-06,155928
chronos,19.0329,30.939,0.3165,0.7029,70.4799,0.872,3.029,1272.06,5.3e-05,47718016
chronos_cov,26.7304,37.6849,0.4445,0.8561,85.8474,0.679,2.359,990.69,4.1e-05,47718016
