city,tier,model,n_hours,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,usd_per_1k
accra,scarce,seasonal_naive,8160,7.75,12.257650672131264,0.9812658974255636,1.1577616425324404,68.7880630080632,4.634263893455716e-10
accra,scarce,lgbm_direct,8160,6.311963951365594,9.9321595364084,0.7991890285489761,0.938113970314922,55.73776201258026,2.159754398373345e-05
accra,scarce,nas_gru,8160,7.664655619197422,10.330691231336443,0.9704600225328576,0.9757561516808968,57.97426100204396,8.679635508694142e-07
accra,scarce,chronos,8160,5.612976107332441,10.065579502117956,0.710686714476105,0.9507157749166564,56.486494477980735,4.697473958306849e-05
accra,scarce,chronos_cov,8160,6.602101428018447,10.918189529866446,0.8359247719560149,1.0312466378502867,61.27121170306969,2.682909200403729e-05
addis_ababa,scarce,seasonal_naive,3610,19.53935185185185,24.20107703449641,2.534844532234148,1.6279535770496016,62.712886322970725,4.950223194976353e-10
addis_ababa,scarce,lgbm_direct,3610,12.426614113288116,15.9030911491852,1.6121074577131735,1.0697661961721294,41.21009763330338,1.855115836168705e-05
addis_ababa,scarce,nas_gru,3610,14.662945244047377,18.8274059868883,1.902227200786067,1.2664784661951587,48.78795145063732,4.266475571057526e-07
addis_ababa,scarce,chronos,3610,12.657773673534392,16.12700218336427,1.6420958397130807,1.084828202235459,41.79032417499468,2.552897569532636e-05
addis_ababa,scarce,chronos_cov,3610,12.875029874426655,16.04320216485742,1.6702805357614057,1.0791911580786808,41.573170986853846,3.091337325713539e-05
amsterdam,rich,seasonal_naive,11228,4.518740079365079,6.479121516273479,0.8137072952947317,4.417503386969963,163.23631785698458,5.766490984468773e-10
amsterdam,rich,lgbm_direct,11228,1.4105221846662066,1.7251281863443562,0.2539982764397513,1.176202605089692,43.46323375211479,1.9069703008982388e-05
amsterdam,rich,nas_gru,11228,3.651814646676735,4.194512266097893,0.657596623588612,2.8598432820923168,105.67740330290724,4.248246477800422e-07
amsterdam,rich,chronos,11228,1.3517225271463391,1.6841067571653212,0.2434099908901495,1.148233951950283,42.429731442334365,2.219182291608174e-05
amsterdam,rich,chronos_cov,11228,1.583843844461622,1.912896362027484,0.2852089892780824,1.3042240583009082,48.193903725235806,3.819683680679494e-05
bangkok,rich,seasonal_naive,18164,3.667013888888889,4.798104270547836,0.5227407046291355,2.040272748493918,48.42493797020524,6.661752431008844e-10
bangkok,rich,lgbm_direct,18164,1.6141124141483765,1.9182444441862971,0.2300951908797429,0.8156850380361372,19.359910286152704,2.4429958476907305e-05
bangkok,rich,nas_gru,18164,3.124871182441712,3.613784599380741,0.4454570975949624,1.5366706976965494,36.47217425783759,9.747135431502506e-07
bangkok,rich,chronos,18164,1.1384245011541578,1.4975052291700552,0.1622848573613428,0.6367763052914966,15.113593566056066,6.828570487313198e-05
bangkok,rich,chronos_cov,18164,4.8628239500682,5.97804055356332,0.6932059968052959,2.5420108741059373,60.33346227313696,4.29035833379506e-05
berlin,rich,seasonal_naive,19574,2.6047569444444445,3.309015098495004,0.5156625257593834,1.7531554700117589,52.64620555668528,6.319446583802344e-10
berlin,rich,lgbm_direct,19574,1.262583056849592,1.6852654279371109,0.2499529829317439,0.8928736241649138,26.81245854003657,2.067419152219237e-05
berlin,rich,nas_gru,19574,3.8891450391875377,4.643104448643208,0.7699322419427361,2.459971840466071,73.87147654164723,4.385451393318362e-07
berlin,rich,chronos,19574,1.2596134126186371,1.7150635252784123,0.2493650838388911,0.9086610097750932,27.28654424564177,2.2941564235831413e-05
berlin,rich,chronos_cov,19574,1.748507761155367,2.172174880666791,0.3461512715611811,1.150844030779775,34.559154875015096,3.1720208337194184e-05
bogota,scarce,seasonal_naive,5175,6.458333333333333,9.010881624698053,1.0482547333179533,0.988539882423534,60.747516570998094,7.056720716247112e-10
bogota,scarce,lgbm_direct,5175,5.061512567782938,7.079442933913088,0.8215361817176938,0.7766511621163451,47.72658157694216,2.113069765489315e-05
bogota,scarce,nas_gru,5175,5.549153639210595,7.427896157018242,0.9006854041100986,0.8148782660275024,50.07570442933645,1.0328767348255494e-06
bogota,scarce,chronos,5175,6.840785645776325,9.027183924079894,1.1103307250784844,0.9903283281922576,60.85741971289816,5.6924960060011165e-05
bogota,scarce,chronos_cov,5175,5.269004337886738,7.12756703736088,0.8552142560613062,0.7819306228334436,48.051013735017165,4.0907793412164513e-05
delhi,scarce,seasonal_naive,2518,96.14991201608848,127.10031880127175,1.5191151684764157,1.2958891476199574,56.08509010035526,4.50259247170632e-10
delhi,scarce,lgbm_direct,2518,59.40990290457691,80.67638334924067,0.9386434450917904,0.8225600898371808,35.59977088796798,3.118309059719751e-05
delhi,scarce,nas_gru,2518,74.61130665021065,96.28209118470396,1.1788171751339185,0.9816727310613528,42.4860441741922,6.39989575574873e-07
delhi,scarce,chronos,2518,77.42237368934175,109.75584633599566,1.2232304719243887,1.119048413852108,48.431558542506735,1.963203471152358e-05
delhi,scarce,chronos_cov,2518,74.267655332843,106.07566314432523,1.1733876753254036,1.0815260102553412,46.80761764418869,2.8367208328240345e-05
dhaka,scarce,seasonal_naive,9395,42.78819444444444,67.14418823613023,1.2422749843184746,1.2929544208781345,84.43965858261869,5.187204166119313e-10
dhaka,scarce,lgbm_direct,9395,35.32582842049037,51.49887853736091,1.0256191811056818,0.9916822948395873,64.76432041727409,2.07983923019802e-05
dhaka,scarce,nas_gru,9395,33.24831536081102,50.04095410606405,0.9653024854109028,0.9636079389158504,62.93085359829896,6.799600618655354e-07
dhaka,scarce,chronos,9395,29.43278569645352,51.04106460068774,0.8545257369292475,0.9828664528596456,64.18857955983611,5.057264236711489e-05
dhaka,scarce,chronos_cov,9395,31.31700866211024,51.12232317086547,0.9092306172240416,0.9844311992704002,64.29076928173117,3.910908507047376e-05
hanoi,scarce,seasonal_naive,6062,23.12847222222222,33.55578837759553,1.0658415020893008,1.3346521812265766,76.27519378648392,6.319446583802344e-10
hanoi,scarce,lgbm_direct,6062,14.919061738555817,24.840814253592363,0.6875229379788892,0.9880216955098388,56.46530785346961,1.876784947789592e-05
hanoi,scarce,nas_gru,6062,13.4122500816981,22.65442861983086,0.6180837469990454,0.9010601161165628,51.4954652131909,4.833281268980096e-07
hanoi,scarce,chronos,6062,14.010748823483786,24.95899190445484,0.6456646780616041,0.9927221083781336,56.73393582070239,2.1328744776635885e-05
hanoi,scarce,chronos_cov,6062,13.698141442437786,24.171893493874897,0.6312586283503683,0.9614159564052036,54.94479341938413,2.8791984378686826e-05
jakarta,scarce,seasonal_naive,7024,17.118055555555557,21.0428652940599,1.070844729797798,1.3049074174197328,43.07893947035294,4.581586128753972e-10
jakarta,scarce,lgbm_direct,7024,10.750394299998414,13.422777155496602,0.6725064679244741,0.832371505867313,27.479100233032565,2.1607178503203343e-05
jakarta,scarce,nas_gru,7024,11.546659310658772,14.013797960304975,0.7223179776149717,0.8690218109121081,28.68903762132381,3.9536632357339845e-07
jakarta,scarce,chronos,7024,13.214593940311008,16.861326497459803,0.826658041357239,1.0456023790772526,34.518496099434344,2.3162210058621386e-05
