series,model,n_hours,mean_load,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,per_forecast_ms,usd_per_1k
pm25:Aotizhongxin,seasonal_naive,34601,82.91326770701086,89.90885416666667,114.91540328952618,1.4927036004994687,3.3422817415109956,301.49982825347126,0.00013958318353009722,5.292529042182852e-10
pm25:Aotizhongxin,lgbm_direct,34601,82.91326770701086,28.48684927507328,34.328875273659776,0.47295033257750685,0.9984455499380289,90.06756016046293,6.416189063505347,2.4328050199124437e-05
pm25:Aotizhongxin,chronos,34601,82.91326770701086,17.143463512261707,24.7570366289357,0.2846227987996286,0.7200513519526794,64.9542365776941,3.6011322918056976,6.30198151065997e-05
pm25:Aotizhongxin,chronos_cov,34601,82.91326770701086,28.895855995079344,40.462914892318075,0.4797408295673782,1.1768523433901936,106.16124158684163,2.1433312498023347,3.750829687154085e-05
pm25:Changping,seasonal_naive,34741,71.23420596152964,76.20572916666667,100.72264858837563,1.428109213770637,3.167118765445773,278.75673555269367,0.00011562497093109414,4.384113481137319e-10
pm25:Changping,lgbm_direct,34741,71.23420596152964,20.021665511789166,25.569823690108073,0.37520965031231396,0.8040164707049546,70.76621475316396,6.016316666621909,2.28118673609414e-05
pm25:Changping,chronos,34741,71.23420596152964,12.999565601348877,19.157194160090647,0.24361422183494622,0.6023780149553526,53.01882924306168,1.3444578125927364,2.3528011720372888e-05
pm25:Changping,chronos_cov,34741,71.23420596152964,15.629881473190869,19.109427891063756,0.29290681929161855,0.6008760543823275,52.886632866079154,2.1301171876378553,3.727705078366246e-05
pm25:Dingling,seasonal_naive,34853,66.44342492618375,71.1640625,95.69485843927542,1.3515902469867642,2.7647948662109285,284.1102956601342,0.00011197910983658706,4.245874581303925e-10
pm25:Dingling,lgbm_direct,34853,66.44342492618375,18.516675194837845,25.75035466564656,0.3516797203639769,0.7439736005029751,76.45072051653224,5.671417186628484,2.1504123499299667e-05
pm25:Dingling,chronos,34853,66.44342492618375,13.841492454210917,21.681341495644514,0.2628858660908006,0.6264125642420232,64.37014948451751,1.7405104166149006,3.045893229076076e-05
pm25:Dingling,chronos_cov,34853,66.44342492618375,15.979352902611405,21.387095121667144,0.30348938463608954,0.6179112625269467,63.496555796506755,2.4198348958937763,4.2347110678141077e-05
pm25:Dongsi,seasonal_naive,34832,86.10748604082896,91.52604166666667,114.69708444662207,1.448659641765994,3.3617321590609954,292.7268405390328,0.00011718748282874003,4.443358723923059e-10
