series,model,n_hours,mean_load,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,per_forecast_ms,usd_per_1k
pm25:Aotizhongxin,seasonal_naive,34601,82.91326770701086,89.90885416666667,114.91540328952618,1.4927036004994687,3.3422817415109956,301.49982825347126,0.00013541678830127543,5.134553223090026e-10
pm25:Aotizhongxin,lgbm_direct,34601,82.91326770701086,28.48684927507328,34.328875273659776,0.47295033257750685,0.9984455499380289,90.06756016046293,5.978200000148111,2.266734166722825e-05
pm25:Changping,seasonal_naive,34741,71.23420596152964,76.20572916666667,100.72264858837563,1.428109213770637,3.167118765445773,278.75673555269367,0.00011718748282874003,4.443358723923059e-10
pm25:Changping,lgbm_direct,34741,71.23420596152964,20.021665511789166,25.569823690108073,0.37520965031231396,0.8040164707049546,70.76621475316396,4.932915104291169,1.8703969770437348e-05
pm25:Dingling,seasonal_naive,34853,66.44342492618375,71.1640625,95.69485843927542,1.3515902469867642,2.7647948662109285,284.1102956601342,0.00011406245903344825,4.3248682383515795e-10
pm25:Dingling,lgbm_direct,34853,66.44342492618375,18.516675194837845,25.75035466564656,0.3516797203639769,0.7439736005029751,76.45072051653224,5.554965104238363,2.1062576020237123e-05
pm25:Dongsi,seasonal_naive,34832,86.10748604082896,91.52604166666667,114.69708444662207,1.448659641765994,3.3617321590609954,292.7268405390328,0.00016250002469557026,6.16145926970704e-10
pm25:Dongsi,lgbm_direct,34832,86.10748604082896,28.424604789784876,34.396902353518804,0.44990012724549394,1.0081613963580616,87.78685699688437,5.409244270595082,2.0510051192673017e-05
pm25:Guanyuan,seasonal_naive,34882,82.99402238366635,89.12109375,111.00961116488072,1.5092761044881429,3.353407300493618,286.5438153282976,0.00010781241144286469,4.087887267208619e-10
pm25:Guanyuan,lgbm_direct,34882,82.99402238366635,25.88214596961454,31.10126728003174,0.4383171570402021,0.9395151974413618,80.28021803201149,5.250192187910822,1.9906978712495195e-05
pm25:Gucheng,seasonal_naive,34962,84.03609270180642,89.66927083333333,114.75499184126339,1.5026584237709315,3.481518882521018,297.1604077621225,0.00011562497093109414,4.384113481137319e-10
pm25:Gucheng,lgbm_direct,34962,84.03609270180642,23.967066777732686,31.319413829756403,0.40163496872389676,0.9501907401868572,81.102265227773,5.948196354135386,2.2553577842763336e-05
pm25:Huairou,seasonal_naive,34674,69.5817584078323,71.40972222222221,92.54164321626597,1.3716262134620416,2.7558257498438823,254.39180324322524,0.00010208320115149642,3.8706547103275714e-10
pm25:Huairou,lgbm_direct,34674,69.5817584078323,24.162717990403777,31.597332748247233,0.4641135177783265,0.9409465856415621,86.85930113341641,5.855765625104444,2.220311132852101e-05
pm25:Nongzhanguan,seasonal_naive,34990,85.18645428541215,92.0078125,114.34546964964615,1.4606650430902828,3.37911624308762,294.9265203214946,0.00011354162173423295,4.305119824089666e-10
pm25:Nongzhanguan,lgbm_direct,34990,85.18645428541215,25.551846682150284,31.447439954428685,0.4056469578061031,0.9293289491846642,81.11107564817715,5.251773958055613,1.9912976257627532e-05
pm25:Shunyi,seasonal_naive,34734,79.79882949313983,84.03819444444444,107.46895008085583,1.3991192873337301,2.8238607494373267,253.61404148874533,0.00010312487574992701,3.9101515388513986e-10
pm25:Shunyi,lgbm_direct,34734,79.79882949313983,30.380166782120558,37.969984212292715,0.5057876073882059,0.9977016430622833,89.60468250688547,5.426413021268672,2.0575149372310384e-05
pm25:Tiantan,seasonal_naive,35032,82.04746041096378,85.08072916666667,105.0664300166099,1.4328296188148042,3.1077505328322412,269.9237915727451,0.00010833324874207999,4.107635681470532e-10
pm25:Tiantan,lgbm_direct,35032,82.04746041096378,25.639082521668467,32.547411637660396,0.4317832862518098,0.9627169767094852,83.61681988935301,5.20065364586723,1.9719145073913246e-05
pm25:Wanliu,seasonal_naive,35044,83.46587297057847,88.11979166666667,111.04873596425698,1.475702165575752,3.508328840418906,320.64602308650785,9.947901465541993e-05,3.771912639018005e-10
pm25:Wanliu,lgbm_direct,35044,83.46587297057847,27.65976760462308,35.32368957785823,0.46320557710651616,1.115970549506236,101.99486275582797,5.6097078131642775,2.1270142124914547e-05
pm25:Wanshouxigong,seasonal_naive,34952,85.08102317931107,91.02083333333333,112.49785363178829,1.4557960927902251,3.045557042452074,270.7054505239172,0.00011510413363187884,4.3643650668754056e-10
pm25:Wanshouxigong,lgbm_direct,34952,85.08102317931107,27.02778493333611,32.865997310419615,0.43228503038013527,0.8897527049145022,79.08599427999206,5.466448437800864,2.072695032666161e-05
