model,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,latency_s,per_forecast_ms,n_params
seasonal_naive,2.4234,3.0387,0.6967,0.3153,6.0575,0.0,0.0,0
lgbm_direct,2.0173,2.5747,0.58,0.2672,5.1326,1.02,4.248,186000
