series,model,n_hours,mean_load,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,per_forecast_ms
synth_1,seasonal_naive,3600,45.98627170384101,2.15146256749876,2.7537842973927718,0.6235739462857162,0.2974368450541768,5.6484823453292785,0.00011927083202560122
synth_1,lgbm_direct,3600,45.98627170384101,1.7793991156391311,2.223700420400334,0.5157361068319148,0.24018236940915533,4.56118969732838,4.051691145832592
synth_2,seasonal_naive,3600,49.84415386646512,2.41228474498323,3.010192726311199,0.698026577005069,0.3130144201360455,5.680487141408356,0.00016354169929400086
synth_2,lgbm_direct,3600,49.84415386646512,2.042491473365152,2.606031522593432,0.5910219905341351,0.27098778054003836,4.9178009184606655,4.036154687431311
synth_3,seasonal_naive,3600,47.383401399743,2.415772391271327,3.065097553356107,0.7051308067456499,0.3182994380778273,6.108688086976559,0.00014114599859264368
synth_3,lgbm_direct,3600,47.383401399743,1.9206786666409696,2.364641048023712,0.5606197432345748,0.2455595307293199,4.712690003690722,3.778136458095105
synth_4,seasonal_naive,3600,49.216742850331435,2.294616707524778,2.9361030753796693,0.6661618759362883,0.2948628330045243,5.639750172771134,0.00015260411601047963
synth_4,lgbm_direct,3600,49.216742850331435,1.8936672166179758,2.4171978481583594,0.54976018490777,0.24275094815881038,4.643022275371005,3.967341145653336
synth_5,seasonal_naive,3600,50.18290949811312,2.294016178331786,2.9752032687033054,0.6601831083960927,0.30799665467394344,5.5906985156823366,0.0001385418120965672
synth_5,lgbm_direct,3600,50.18290949811312,1.9277963481925322,2.367339330543497,0.5547905884560465,0.24506984176688895,4.448462604423744,3.9879786454548594
synth_6,seasonal_naive,3600,50.58539187194547,2.2113502675659187,2.7916072611175493,0.6264941542799821,0.29210418319028797,5.205236385900613,0.00011666664552952473
synth_6,lgbm_direct,3600,50.58539187194547,1.857444615637668,2.4282941096563353,0.5262297025774724,0.2540883444911929,4.527801969604869,4.000275521017708
synth_7,seasonal_naive,3600,50.90450064670982,2.272856277387099,2.825664870020938,0.66510794571062,0.2881542919442926,5.255631813684582,0.00014687490571911135
synth_7,lgbm_direct,3600,50.90450064670982,1.8661328623562037,2.3226450953265902,0.5460881125011952,0.23685758349565292,4.3200336969919695,3.8786364578603147
synth_8,seasonal_naive,3600,49.56702750393353,2.256267182544041,2.8741099626223043,0.6540281896725051,0.2953246766696727,5.4958577000737,0.00015000023267930374
synth_8,lgbm_direct,3600,49.56702750393353,1.871960429552633,2.3577119821240013,0.5426285062119304,0.24226300936854087,4.508404243409605,4.462488541321363
synth_9,seasonal_naive,3600,43.65354865916099,2.381134543333983,2.9901597889606872,0.682140258393937,0.30706153030471156,6.419962773586456,0.00012395836771853888
synth_9,lgbm_direct,3600,43.65354865916099,1.9759158656825047,2.4415787614152946,0.5660544310503881,0.25072737370341225,5.24214284966816,3.968772395637643
synth_10,seasonal_naive,3600,46.18337396273239,2.2659494450123607,2.8895510706147993,0.6461254407314042,0.3036628471549083,5.912194002880655,0.00014374988192381957
synth_10,lgbm_direct,3600,46.18337396273239,1.8467025223788156,2.4003696925794893,0.5265790389976238,0.25225478880979035,4.911299698241871,3.9628010420832047
synth_11,seasonal_naive,3600,47.433890337221655,2.5439384715712507,3.165524664894473,0.7439085747930824,0.3332202705381421,6.329113728468636,0.00017083311831811443
synth_11,lgbm_direct,3600,47.433890337221655,1.6939191473143207,2.112165616146605,0.49534255359368123,0.22233799213098096,4.22303972109424,3.911776041907918
synth_12,seasonal_naive,3600,47.01268703093094,2.4958432112362847,3.0605948004437504,0.7287238877567321,0.3162472625951559,6.105350147860454,0.00013802067163245132
synth_12,lgbm_direct,3600,47.01268703093094,2.2652966121308498,2.8287860130438527,0.661410038371944,0.2922947634109806,5.642932249802821,3.8544552083597714
synth_13,seasonal_naive,3600,47.38603920921577,2.4290033545618637,3.113503547769163,0.6952445040249146,0.3215980395446433,6.1610814687091215,0.00014322934778950488
synth_13,lgbm_direct,3600,47.38603920921577,2.021165373146188,2.482095694805355,0.5785105709163664,0.25637905888481843,4.9116352540484565,3.997217187740413
synth_14,seasonal_naive,3600,45.838518539929936,2.5159990901095948,3.0716643025703267,0.733707420633623,0.323877443450617,6.271641262725366,0.00014895825491597256
synth_14,lgbm_direct,3600,45.838518539929936,1.899193666977431,2.347915715417944,0.5538366417378257,0.24756511924521402,4.793910932875902,4.356568229316811
synth_15,seasonal_naive,3600,50.244656700972975,2.219328696894941,2.8766831799150694,0.6428316240818679,0.30326935681747935,5.39741691247733,0.00014635406841989607
synth_15,lgbm_direct,3600,50.244656700972975,2.037305206281106,2.5395896268870306,0.5901082684761609,0.2677318510789606,4.764940435087031,4.028840624717607
synth_16,seasonal_naive,3600,48.01111373245179,2.3976635172894096,2.9538706899443743,0.7048206422229745,0.29837279042606973,5.780051684369927,0.00010729157414364938
synth_16,lgbm_direct,3600,48.01111373245179,2.1599410659504326,2.693888709274999,0.6349394059213199,0.27211180706722177,5.271326204141763,3.899569791731968
synth_17,seasonal_naive,3600,47.29006207498564,2.2315608336984027,2.789885085775682,0.643744296849592,0.297349098650074,5.572535792960867,0.00014947939538008845
synth_17,lgbm_direct,3600,47.29006207498564,1.6765927668165794,2.1215228036947615,0.48365118059036466,0.22611429290064194,4.2375443416820024,3.8020156246905876
synth_18,seasonal_naive,3600,44.191093577630404,2.597547840422821,3.1723829708519533,0.7402073357961892,0.32293150353528033,6.722505371009191,0.00010156236385228112
synth_18,lgbm_direct,3600,44.191093577630404,1.9044060536285317,2.4042610210282693,0.5426869562491101,0.24474082528674637,5.09480027338252,4.477958333457839
synth_19,seasonal_naive,3600,48.392235937746236,2.4374549447562877,3.0209460176483063,0.6938624527965321,0.3157805997723666,5.851433557393662,0.00023385412835826477
synth_19,lgbm_direct,3600,48.392235937746236,1.864826606417454,2.3618638364896993,0.5308541870497727,0.24688649665047027,4.5748216717851,3.9509791664992613
synth_20,seasonal_naive,3600,47.80496373257968,2.4152179868524155,2.9823827097531246,0.6885525017866745,0.30388277557984444,5.867775048206711,0.00018854158649143452
synth_20,lgbm_direct,3600,47.80496373257968,1.5879388138970485,2.0061980497409895,0.4527041653982967,0.2044167670783701,3.947152328751798,3.9167187496786937
synth_21,seasonal_naive,3600,44.182531302972336,2.453761710104781,3.0155508219746263,0.7127129954924031,0.31579712974371255,6.395292357455022,0.0007197916905473297
synth_21,lgbm_direct,3600,44.182531302972336,1.9491868973245714,2.4582195773368047,0.5661555588897897,0.2574318035517085,5.213320485706165,3.9016416667436715
synth_22,seasonal_naive,3600,46.55910293204678,2.5173277986328357,3.087634631338864,0.7295878397965027,0.32006336860688167,6.228425746225834,0.00018645854045947394
synth_22,lgbm_direct,3600,46.55910293204678,1.8517676156184226,2.3485534209342247,0.5366909844708783,0.24345041075390347,4.737539359373802,3.8370682292831284
synth_23,seasonal_naive,3600,46.02928898814653,2.315866771721293,2.9976187549811257,0.6517201235306099,0.306817110671736,6.141586849330562,0.00017083342148301503
synth_23,lgbm_direct,3600,46.02928898814653,1.920928186291496,2.3364192122094414,0.5405784003424473,0.23914094840007363,4.786906768709194,4.623861458640022
synth_24,seasonal_naive,3600,50.65385066626524,2.55634019526517,3.154721847039914,0.7350920628750086,0.32811696653352523,5.890595386452564,0.00014479185968715078
synth_24,lgbm_direct,3600,50.65385066626524,1.8524834062669655,2.3055677531345564,0.5326935167223515,0.2397979707801652,4.305028280864596,4.42944843719791
synth_25,seasonal_naive,3600,47.11098320677687,2.432488886296559,3.014586509370426,0.6997665575934894,0.31129526152352754,6.001110830305227,0.00013593762560049072
synth_25,lgbm_direct,3600,47.11098320677687,1.9338934006551511,2.4610822166900554,0.5563330362382738,0.254138745029889,4.899254706720867,4.085710416802613
synth_26,seasonal_naive,3600,44.916542435166406,2.1763730676977726,2.6678617531144013,0.6376081283914368,0.28417495080849503,5.584234660510718,0.0001755206540110521
