train_weeks,model,MASE,usd_per_1k,per_forecast_ms
4,seasonal_naive,0.8402030169523301,6.220704512492779e-10,0.00016406253659321615
4,lgbm_direct,0.5872258392187257,1.9015480860427184e-05,5.015071875277499
12,seasonal_naive,0.938103179155176,6.200956098230866e-10,0.00016354169929400086
12,lgbm_direct,0.7770542588801204,1.6637787913080297e-05,4.387988021032167
26,seasonal_naive,1.2411664812902201,7.919045149012363e-10,0.00020885393799593052
26,lgbm_direct,0.6771851412622655,1.6318468359865314e-05,4.303771875129314
52,seasonal_naive,1.4931206949220983,8.353510262774457e-10,0.00022031235857866704
52,lgbm_direct,0.6806887511253172,1.693117799263493e-05,4.465365624431191
104,seasonal_naive,1.5591952318338933,9.281685733084385e-10,0.000244791711641786
104,lgbm_direct,0.5069834965706319,1.7671109895331937e-05,4.660512499867764
