train_weeks,model,MASE,usd_per_1k,per_forecast_ms
4,seasonal_naive,0.8402030169523301,5.15430163735194e-10,0.00013593762560049072
4,lgbm_direct,0.5872258392187257,1.9678659160199964e-05,5.18997604225054
4,chronos,0.16020657695529497,7.374237499940742e-05,4.213849999966139
4,chronos_cov,0.3463651089922323,3.305593228712193e-05,1.8889104164069674
12,seasonal_naive,0.938103179155176,5.884981470040251e-10,0.00015520830250655612
12,lgbm_direct,0.7770542588801204,1.6547465274723232e-05,4.364166665861073
12,chronos,0.17887379137066042,2.8867097662441664e-05,1.6495484378538094
12,chronos_cov,0.5972683190622986,2.918227083076393e-05,1.6675583331865103
26,seasonal_naive,1.2411664812902201,4.0089051051634454e-10,0.0001057293654109041
26,lgbm_direct,0.6771851412622655,1.6748988410616523e-05,4.417315624777984
26,chronos,0.23666069912533522,2.920732682014204e-05,1.6689901040081168
26,chronos_cov,0.43276298232563903,2.972599219750312e-05,1.698628125571607
52,seasonal_naive,1.4931206949220983,5.332025870706678e-10,0.0001406248581285278
52,lgbm_direct,0.6806887511253172,1.7336122072088577e-05,4.572164062968416
52,chronos,0.28470232870891055,2.5744477867040883e-05,1.471113020973765
52,chronos_cov,0.4664805038291053,3.169267317995642e-05,1.81100989599751
104,seasonal_naive,1.5591952318338933,4.463107138184972e-10,0.00011770832012795533
104,lgbm_direct,0.5069834965706319,1.7313135091462246e-05,4.566101562583451
104,chronos,0.29730115919269295,2.5229230484455908e-05,1.4416703133974806
104,chronos_cov,0.46441430259652183,3.924590103755084e-05,2.242622916431477
