train_weeks,model,MASE,usd_per_1k,per_forecast_ms
4,seasonal_naive,1.4927036004994687,4.463107138184972e-10,0.00011770832012795533
4,lgbm_direct,0.6368787061265868,1.7293943729618553e-05,4.561040104514784
4,chronos,0.2846227987996286,0.00013212682292457125,7.550104167118358
4,chronos_cov,0.6153518076565413,2.7342364587639162e-05,1.562420833579381
12,seasonal_naive,1.4927036004994687,3.9496598623777056e-10,0.0001041668535132582
12,lgbm_direct,0.8615539535366226,1.5639578342403282e-05,4.124723958436031
12,chronos,0.2846227987996286,2.289338150755308e-05,1.3081932290030334
12,chronos_cov,0.9503694157943836,3.143292578518716e-05,1.7961671877249803
26,seasonal_naive,1.4927036004994687,4.5815976237564526e-10,0.00012083334392324711
26,lgbm_direct,0.6275022567600521,1.6443944880317453e-05,4.336864583819988
26,chronos,0.2846227987996286,2.1560182296980202e-05,1.2320104169702972
26,chronos_cov,0.5204675372870621,2.5704100257826207e-05,1.4688057290186407
52,seasonal_naive,1.4927036004994687,3.9101515388513986e-10,0.00010312487574992701
52,lgbm_direct,0.6030401057216431,1.3960328168044119e-05,3.6818447915720753
52,chronos,0.2846227987996286,2.1023861980514386e-05,1.2013635417436792
52,chronos_cov,0.4663501952632444,2.4083563794950656e-05,1.3762036454257516
104,seasonal_naive,1.4927036004994687,4.384113481137319e-10,0.00011562497093109414
104,lgbm_direct,0.47376264555443426,1.5080933526089917e-05,3.9773890618259125
104,chronos,0.2846227987996286,1.9676781259931883e-05,1.1243875005675363
104,chronos_cov,0.4446094289256591,2.636004036958183e-05,1.5062880211189622
