city,chronos,lgbm_direct,fm_advantage,usable_hours
accra,0.8580459250995874,0.4327043651384209,-0.4253415599611665,8160
addis_ababa,0.8323239708021077,0.3230800407855681,-0.5092439300165397,3610
amsterdam,0.5519546854216784,0.5853810008523628,0.03342631543068442,11228
bangkok,0.8509244823384366,0.5101783150749407,-0.34074616726349594,18164
berlin,0.5530456007283433,0.472955087706959,-0.08009051302138431,19574
bogota,0.7325348010614502,0.392663989986778,-0.3398708110746722,5175
delhi,1.1637184763086867,0.6455835410708151,-0.5181349352378717,2518
dhaka,0.8248907450985711,0.5783004052879502,-0.24659033981062084,9395
hanoi,0.3634783966253695,0.2294926078827524,-0.13398578874261713,6062
jakarta,0.5827315802114758,0.2911330106476958,-0.29159856956377994,7024
kampala,1.268542552961873,0.4632168225468188,-0.8053257304150543,2836
karachi,0.2248910617177377,0.2307854012477455,0.005894339530007786,5214
krakow,0.7328802203275887,0.6473631992665542,-0.08551702106103454,9344
lagos,0.657017465727659,0.3579576239872162,-0.29905984174044276,3378
lahore,0.7420126968856906,0.7564506269638208,0.014437930078130212,5563
lima,1.0451318792111963,0.4368373107892664,-0.6082945684219299,5227
los_angeles,0.9182548930082144,0.5132148250112667,-0.4050400679969477,8195
madrid,0.8329127713660998,0.7429609624402529,-0.08995180892584687,6431
manila,0.6138726441589722,0.5653072830844253,-0.0485653610745469,10992
mexico_city,1.319402622688092,0.5327587280191582,-0.7866438946689337,3371
mumbai,0.9075897308539038,0.9536999502940208,0.04611021944011695,3004
nairobi,0.8743421166239763,0.5589230691598559,-0.3154190474641204,13576
new_york,0.4655526662959072,0.3759867403664897,-0.08956592592941748,13421
paris,0.796006293567118,0.6319658463648488,-0.1640404472022693,4457
santiago,1.484780985419655,0.4927569456740565,-0.9920240397455985,16288
seoul,0.3066606448293328,0.2439007956592648,-0.062759849170068,19827
sydney,0.816266480083127,0.4374812793338599,-0.3787852007492671,7277
toronto,0.594708161843504,0.3581019811637317,-0.23660618067977224,13518
vienna,0.4115737924420045,0.2123157814340168,-0.19925801100798768,6241
