city,seed,model_a,model_b,dm_stat,p_value,mean_loss_diff,better,significant_5pct
accra,42,nas_gru,seasonal_naive,-0.5026545749890521,0.6159803821319969,-0.0746332195070056,nas_gru,False
accra,42,nas_gru,lgbm_direct,5.051086460770222,1.3187668755560079e-06,0.35106704161843205,lgbm_direct,True
accra,42,nas_gru,chronos,2.0954648206681203,0.03789231199240608,0.1294869502385458,chronos,True
accra,42,nas_gru,chronos_cov,3.045478171106112,0.002766574284705509,0.2776509176001298,chronos_cov,True
accra,43,nas_gru,seasonal_naive,-0.7136942422651869,0.4765794729723959,-0.1321685738033721,nas_gru,False
accra,43,nas_gru,lgbm_direct,2.970634962284702,0.0034869700187043287,0.2935316873220656,lgbm_direct,True
accra,43,nas_gru,chronos,0.8710762489354144,0.38517253927682105,0.07195159594217933,chronos,False
accra,43,nas_gru,chronos_cov,1.761654525044186,0.08026471794265855,0.22011556330376328,chronos_cov,False
accra,44,nas_gru,seasonal_naive,-0.6355618686635576,0.5260778002154598,-0.10347201824188249,nas_gru,False
accra,44,nas_gru,lgbm_direct,4.293545746309393,3.226376603295741e-05,0.3222282428835552,lgbm_direct,True
accra,44,nas_gru,chronos,1.5843998673739217,0.1153117724642779,0.10064815150366895,chronos,False
accra,44,nas_gru,chronos_cov,2.5265760556918275,0.012606651018486516,0.2488121188652529,chronos_cov,True
accra,45,nas_gru,seasonal_naive,-0.5800408140979704,0.562799915495036,-0.0884130530887181,nas_gru,False
accra,45,nas_gru,lgbm_direct,5.22369823898056,6.076793175923137e-07,0.3372872080367196,lgbm_direct,True
accra,45,nas_gru,chronos,2.0325907268278813,0.04394464239107358,0.11570711665683334,chronos,True
accra,45,nas_gru,chronos_cov,2.913476072836214,0.004149252981463092,0.2638710840184173,chronos_cov,True
accra,46,nas_gru,seasonal_naive,-0.24991566175687827,0.8030112333811775,-0.038500751389397646,nas_gru,False
accra,46,nas_gru,lgbm_direct,6.082711454405724,1.0251826957259931e-08,0.38719950973604,lgbm_direct,True
accra,46,nas_gru,chronos,3.1736002146559694,0.001843586701096568,0.1656194183561538,chronos,True
accra,46,nas_gru,chronos_cov,3.4798456394086426,0.0006653816896873824,0.31378338571773773,chronos_cov,True
addis_ababa,42,nas_gru,seasonal_naive,-13.891327582012709,2.6173474708536605e-28,-3.070438826084137,nas_gru,True
addis_ababa,42,nas_gru,lgbm_direct,4.22231928952192,4.279750039376872e-05,0.6798888660302648,lgbm_direct,True
addis_ababa,42,nas_gru,chronos,-0.90360715993477,0.36772342264676583,-0.3076729668511285,nas_gru,False
addis_ababa,42,nas_gru,chronos_cov,-0.6569750551175804,0.5122529047270863,-0.14655772435812503,nas_gru,False
addis_ababa,43,nas_gru,seasonal_naive,-13.81814251238635,4.044053984958771e-28,-3.118697737322913,nas_gru,True
addis_ababa,43,nas_gru,lgbm_direct,4.146117163311725,5.76927952923449e-05,0.6316299547914884,lgbm_direct,True
addis_ababa,43,nas_gru,chronos,-1.0017430549914876,0.3181597860580363,-0.35593187808990484,nas_gru,False
addis_ababa,43,nas_gru,chronos_cov,-0.9354650618409113,0.35112572846562806,-0.19481663559690135,nas_gru,False
addis_ababa,44,nas_gru,seasonal_naive,-13.061856428856991,3.695472745427951e-26,-3.049831802315182,nas_gru,True
addis_ababa,44,nas_gru,lgbm_direct,4.306418880657119,3.0647005867990094e-05,0.7004958897992196,lgbm_direct,True
addis_ababa,44,nas_gru,chronos,-0.8184862611826657,0.4144414261756867,-0.2870659430821737,nas_gru,False
addis_ababa,44,nas_gru,chronos_cov,-0.5703052294356669,0.56936568111341,-0.12595070058917024,nas_gru,False
addis_ababa,45,nas_gru,seasonal_naive,-13.481584347787047,3.0039066004050282e-27,-3.0605822987026636,nas_gru,True
addis_ababa,45,nas_gru,lgbm_direct,4.117417596783156,6.449793127465828e-05,0.6897453934117378,lgbm_direct,True
addis_ababa,45,nas_gru,chronos,-0.8473750839465707,0.3982020814905176,-0.2978164394696554,nas_gru,False
addis_ababa,45,nas_gru,chronos_cov,-0.673934765024589,0.5014407021231055,-0.1367011969766519,nas_gru,False
addis_ababa,46,nas_gru,seasonal_naive,-13.480779777904871,3.0183658090150184e-27,-3.0712109459771053,nas_gru,True
addis_ababa,46,nas_gru,lgbm_direct,4.263595879078786,3.634814281613318e-05,0.6791167461372967,lgbm_direct,True
addis_ababa,46,nas_gru,chronos,-0.9032089068652839,0.3679339866312522,-0.3084450867440966,nas_gru,False
addis_ababa,46,nas_gru,chronos_cov,-0.7321468907011358,0.4652771653668397,-0.14732984425109308,nas_gru,False
amsterdam,42,nas_gru,seasonal_naive,-0.7034996415022179,0.4828882944671822,-0.48927562104331124,nas_gru,False
amsterdam,42,nas_gru,lgbm_direct,1.3873789938094945,0.16748458699091714,0.6437989963456195,lgbm_direct,False
amsterdam,42,nas_gru,chronos,1.9755697705072965,0.0501284932528714,0.7452386246787177,chronos,False
amsterdam,42,nas_gru,chronos_cov,0.4071144960955556,0.6845326408121815,0.3787929557072489,chronos_cov,False
amsterdam,43,nas_gru,seasonal_naive,-1.3795231894023807,0.16988693557703052,-0.7562531524234347,nas_gru,False
amsterdam,43,nas_gru,lgbm_direct,1.1342874628142423,0.2585718477729499,0.37682146496549596,lgbm_direct,False
amsterdam,43,nas_gru,chronos,1.982199890512179,0.049373527190122266,0.4782610932985942,chronos,True
amsterdam,43,nas_gru,chronos_cov,0.14766408718003723,0.8828158750381998,0.11181542432712514,chronos_cov,False
amsterdam,44,nas_gru,seasonal_naive,-1.7585531238056846,0.08079262044686107,-0.9027086589071485,nas_gru,False
amsterdam,44,nas_gru,lgbm_direct,0.8036621475136249,0.42292601318902434,0.23036595848178218,lgbm_direct,False
amsterdam,44,nas_gru,chronos,1.0163458650903805,0.3111812043693118,0.3318055868148803,chronos,False
amsterdam,44,nas_gru,chronos_cov,-0.042967623441101756,0.9657872807175685,-0.03464008215658865,nas_gru,False
amsterdam,45,nas_gru,seasonal_naive,-1.4602769479904822,0.14640751173074257,-0.7997666822539435,nas_gru,False
amsterdam,45,nas_gru,lgbm_direct,1.108606909534016,0.2694608241566317,0.3333079351349872,lgbm_direct,False
amsterdam,45,nas_gru,chronos,1.7947054281973553,0.07481298243200955,0.4347475634680854,chronos,False
amsterdam,45,nas_gru,chronos_cov,0.08957944661220205,0.9287467597305257,0.06830189449661637,chronos_cov,False
amsterdam,46,nas_gru,seasonal_naive,-1.5581823718244554,0.12140043313436555,-0.786288391219245,nas_gru,False
amsterdam,46,nas_gru,lgbm_direct,1.4014014903628003,0.1632606555219155,0.3467862261696857,lgbm_direct,False
amsterdam,46,nas_gru,chronos,1.6359923395282099,0.1040403147224594,0.44822585450278385,chronos,False
amsterdam,46,nas_gru,chronos_cov,0.11717529313584876,0.9068855575436903,0.08178018553131494,chronos_cov,False
bangkok,42,nas_gru,seasonal_naive,-2.4670439802799753,0.01480425380299451,-1.7467199087142946,nas_gru,True
bangkok,42,nas_gru,lgbm_direct,2.2839068069323667,0.023849871791633826,0.2816110627346076,lgbm_direct,True
bangkok,42,nas_gru,chronos,1.259328032379275,0.20996354521905894,0.08998828464084206,chronos,False
bangkok,42,nas_gru,chronos_cov,1.6834054121798623,0.09447848979050705,0.19433347266948273,chronos_cov,False
bangkok,43,nas_gru,seasonal_naive,-2.3783224317836438,0.0187132857915079,-1.6151554902394616,nas_gru,True
bangkok,43,nas_gru,lgbm_direct,4.260831440497419,3.674920095151739e-05,0.4131754812094408,lgbm_direct,True
bangkok,43,nas_gru,chronos,2.233388342825094,0.027076344248989984,0.22155270311567524,chronos,True
bangkok,43,nas_gru,chronos_cov,3.6961790152993146,0.00031103500208013444,0.3258978911443159,chronos_cov,True
bangkok,44,nas_gru,seasonal_naive,-2.2716769647054798,0.0245983818896664,-1.5679897864659627,nas_gru,True
bangkok,44,nas_gru,lgbm_direct,4.404003741735754,2.0685093272670494e-05,0.46034118498293947,lgbm_direct,True
bangkok,44,nas_gru,chronos,2.4591578349259398,0.015119612590670253,0.26871840688917387,chronos,True
bangkok,44,nas_gru,chronos_cov,3.5865924358375607,0.00045909208196876,0.3730635949178145,chronos_cov,True
bangkok,45,nas_gru,seasonal_naive,-1.7987771801962424,0.07416300411224387,-1.3336416588889228,nas_gru,False
bangkok,45,nas_gru,lgbm_direct,4.604754673499053,9.043717470501968e-06,0.6946893125599793,lgbm_direct,True
bangkok,45,nas_gru,chronos,4.652571275242839,7.3992968005578295e-06,0.5030665344662137,chronos,True
bangkok,45,nas_gru,chronos_cov,4.307326231569485,3.053603371847241e-05,0.6074117224948545,chronos_cov,True
bangkok,46,nas_gru,seasonal_naive,-2.0748137730202583,0.03979601006047548,-1.5188554896248712,nas_gru,True
bangkok,46,nas_gru,lgbm_direct,3.4503667252486223,0.000736135703476839,0.509475481824031,lgbm_direct,True
bangkok,46,nas_gru,chronos,2.9111885170992537,0.004178015030894462,0.31785270373026553,chronos,True
bangkok,46,nas_gru,chronos_cov,2.9502867470197596,0.0037107060510248283,0.4221978917589062,chronos_cov,True
berlin,42,nas_gru,seasonal_naive,-1.4438123696766243,0.15097903008653873,-0.9368548658159042,nas_gru,False
berlin,42,nas_gru,lgbm_direct,2.5664433274123364,0.011302968735625363,1.6853168045638576,lgbm_direct,True
berlin,42,nas_gru,chronos,0.9828834856452128,0.32732480761086835,1.2473312166002062,chronos,False
berlin,42,nas_gru,chronos_cov,2.2821182004399247,0.023958079261776562,2.0217345987725253,chronos_cov,True
berlin,43,nas_gru,seasonal_naive,-1.116795863140701,0.26595456682596214,-0.9441442648569741,nas_gru,False
berlin,43,nas_gru,lgbm_direct,3.499352132010844,0.0006221311359939224,1.678027405522788,lgbm_direct,True
berlin,43,nas_gru,chronos,1.2708569236346585,0.2058430616937836,1.2400418175591363,chronos,False
berlin,43,nas_gru,chronos_cov,3.379043571278773,0.0009376027827289362,2.0144451997314556,chronos_cov,True
berlin,44,nas_gru,seasonal_naive,-1.4083996377054833,0.16118322950504507,-0.8821964078479341,nas_gru,False
berlin,44,nas_gru,lgbm_direct,2.851773513937363,0.004992135808368769,1.7399752625318277,lgbm_direct,True
berlin,44,nas_gru,chronos,1.0587011984695798,0.29152093227412834,1.3019896745681763,chronos,False
berlin,44,nas_gru,chronos_cov,2.450628038846095,0.015467427668304508,2.076393056740496,chronos_cov,True
berlin,45,nas_gru,seasonal_naive,-1.2533211852683344,0.21213418187237734,-0.9201480097240871,nas_gru,False
berlin,45,nas_gru,lgbm_direct,2.9392500411373743,0.003837503491985247,1.702023660655675,lgbm_direct,True
berlin,45,nas_gru,chronos,1.1097494631160183,0.26896970288248456,1.2640380726920233,chronos,False
berlin,45,nas_gru,chronos_cov,2.5827466384335254,0.010805647260889341,2.038441454864343,chronos_cov,True
berlin,46,nas_gru,seasonal_naive,-1.3941600942320722,0.16543170179095973,-1.0689869907167222,nas_gru,False
berlin,46,nas_gru,lgbm_direct,2.87763162804746,0.00462147672346897,1.5531846796630397,lgbm_direct,True
berlin,46,nas_gru,chronos,1.0755123753147193,0.2839566541797727,1.1151990916993884,chronos,False
berlin,46,nas_gru,chronos_cov,2.6669153879863337,0.008537598109160965,1.8896024738717077,chronos_cov,True
bogota,42,nas_gru,seasonal_naive,1.2281681278134888,0.22140146780325362,0.15928969648149288,seasonal_naive,False
bogota,42,nas_gru,lgbm_direct,4.794932458306656,4.0383563275681065e-06,0.7155478264173447,lgbm_direct,True
bogota,42,nas_gru,chronos,2.1011646980825027,0.037380861408532355,0.22715127997928203,chronos,True
bogota,42,nas_gru,chronos_cov,1.4416941327904544,0.15157507020087238,0.2136220667708183,chronos_cov,False
bogota,43,nas_gru,seasonal_naive,1.000058766555864,0.31897130957827846,0.11144092215432072,seasonal_naive,False
bogota,43,nas_gru,lgbm_direct,4.835168017734927,3.3957859126948147e-06,0.6676990520901724,lgbm_direct,True
bogota,43,nas_gru,chronos,1.5483586818019335,0.12374625563884321,0.17930250565210984,chronos,False
bogota,43,nas_gru,chronos_cov,1.1301438047371173,0.2603076628681352,0.1657732924436461,chronos_cov,False
bogota,44,nas_gru,seasonal_naive,0.48220565449786,0.6303971094150903,0.06242842276891087,seasonal_naive,False
bogota,44,nas_gru,lgbm_direct,3.914141670193433,0.00013988277895280864,0.6186865527047627,lgbm_direct,True
bogota,44,nas_gru,chronos,1.0449010498695026,0.2978318009743632,0.13029000626669998,chronos,False
bogota,44,nas_gru,chronos_cov,0.7427782790698166,0.4588343773464082,0.11676079305823626,chronos_cov,False
bogota,45,nas_gru,seasonal_naive,2.1150565195034434,0.03615915417316905,0.24459277523888487,seasonal_naive,True
bogota,45,nas_gru,lgbm_direct,5.4150397748340175,2.526800136321737e-07,0.8008509051747367,lgbm_direct,True
bogota,45,nas_gru,chronos,2.519521238936466,0.012850874228672893,0.31245435873667404,chronos,True
bogota,45,nas_gru,chronos_cov,2.0355660692721993,0.043640669085437754,0.29892514552821026,chronos_cov,True
bogota,46,nas_gru,seasonal_naive,1.0319907132546997,0.30381868377381344,0.11736213498645373,seasonal_naive,False
bogota,46,nas_gru,lgbm_direct,4.792180696825348,4.086364573437551e-06,0.6736202649223055,lgbm_direct,True
bogota,46,nas_gru,chronos,1.6625635728847024,0.09859022030351872,0.18522371848424285,chronos,False
bogota,46,nas_gru,chronos_cov,1.1538465091510277,0.2504879022578576,0.17169450527577912,chronos_cov,False
delhi,42,nas_gru,seasonal_naive,-6.023132633715361,1.3761771484083087e-08,-4.562457256846958,nas_gru,True
delhi,42,nas_gru,lgbm_direct,20.82577997373769,3.822157184786198e-45,2.2861096517360022,lgbm_direct,True
delhi,42,nas_gru,chronos,2.877372943142603,0.0046250566445525665,1.4195068054729036,chronos,True
delhi,42,nas_gru,chronos_cov,4.731397045848829,5.2992823224604076e-06,1.7317254310767205,chronos_cov,True
delhi,43,nas_gru,seasonal_naive,-5.729975307777327,5.723072208356561e-08,-4.379146773285336,nas_gru,True
delhi,43,nas_gru,lgbm_direct,11.560074128459172,3.0795629081442644e-22,2.4694201352976237,lgbm_direct,True
delhi,43,nas_gru,chronos,2.963222877459775,0.0035669913855058766,1.6028172890345258,chronos,True
delhi,43,nas_gru,chronos_cov,4.396265232736989,2.134476757970315e-05,1.9150359146383424,chronos_cov,True
delhi,44,nas_gru,seasonal_naive,-5.9265370526025505,2.210675770540708e-08,-4.549714455339644,nas_gru,True
delhi,44,nas_gru,lgbm_direct,10.620981936377662,8.681290436688903e-20,2.298852453243316,lgbm_direct,True
delhi,44,nas_gru,chronos,2.589703825545997,0.01059947335805078,1.432249606980218,chronos,True
delhi,44,nas_gru,chronos_cov,4.0078565552676295,9.822974657661628e-05,1.7444682325840346,chronos_cov,True
delhi,45,nas_gru,seasonal_naive,-5.839159919218758,3.381678116267606e-08,-4.355042780770195,nas_gru,True
delhi,45,nas_gru,lgbm_direct,14.811730523901762,1.1381945703486843e-30,2.493524127812764,lgbm_direct,True
delhi,45,nas_gru,chronos,3.0449878312539598,0.0027708100555801606,1.6269212815496656,chronos,True
delhi,45,nas_gru,chronos_cov,4.876684123506631,2.8369644579382946e-06,1.9391399071534825,chronos_cov,True
delhi,46,nas_gru,seasonal_naive,-6.3229674049434,3.0785497830436145e-09,-4.413727504677244,nas_gru,True
delhi,46,nas_gru,lgbm_direct,23.11239539370554,3.8483551627536975e-50,2.4348394039057175,lgbm_direct,True
delhi,46,nas_gru,chronos,2.850091675327497,0.005017160156594531,1.568236557642619,chronos,True
delhi,46,nas_gru,chronos_cov,5.499536169691765,1.704705631632847e-07,1.8804551832464353,chronos_cov,True
dhaka,42,nas_gru,seasonal_naive,-2.6684647293106423,0.008500216219244554,-0.7143293937047321,nas_gru,True
dhaka,42,nas_gru,lgbm_direct,2.755497619954412,0.006623448701808827,0.2612084546320508,lgbm_direct,True
dhaka,42,nas_gru,chronos,-0.34040142085308833,0.7340537878607725,-0.07646602524651414,nas_gru,False
dhaka,42,nas_gru,chronos_cov,0.8982269660702047,0.37057444109216287,0.12196444009611739,chronos_cov,False
dhaka,43,nas_gru,seasonal_naive,-3.8869283365623546,0.00015483302936313852,-0.7336532221900094,nas_gru,True
dhaka,43,nas_gru,lgbm_direct,2.468885322672712,0.014731469266462677,0.2418846261467736,lgbm_direct,True
dhaka,43,nas_gru,chronos,-0.8860684432685249,0.3770682810635083,-0.09578985373179133,nas_gru,False
dhaka,43,nas_gru,chronos_cov,0.6444405638950129,0.5203221907028199,0.10264061161084019,chronos_cov,False
dhaka,44,nas_gru,seasonal_naive,-2.4939875617444227,0.0137705413718962,-0.6351893822352092,nas_gru,True
dhaka,44,nas_gru,lgbm_direct,3.1748654472547866,0.0018361000985501806,0.3403484661015737,lgbm_direct,True
dhaka,44,nas_gru,chronos,0.016093305675526626,0.9871823858298618,0.002673986223008789,chronos,False
dhaka,44,nas_gru,chronos_cov,1.8277364159722644,0.06967357168879611,0.2011044515656403,chronos_cov,False
dhaka,45,nas_gru,seasonal_naive,-4.048420815997544,8.41399357554042e-05,-0.7770911773045859,nas_gru,True
