tier,model,mean_coverage,mean_width,n_cities
rich,chronos,0.8998015873015872,10.723072120121547,14
rich,chronos_cov,0.8918650793650793,9.172075344318435,14
rich,lgbm_direct,0.9583333333333333,7.696572243031127,14
rich,nas_gru,0.9097222222222222,11.74807619197028,14
rich,seasonal_naive,0.933531746031746,18.04285714285714,14
scarce,chronos,0.9361111111111111,5.896016387939454,15
scarce,chronos_cov,0.9425925925925926,3.788264196211876,15
scarce,lgbm_direct,0.9490740740740741,2.6808932061854307,15
scarce,nas_gru,0.95,6.018786544799805,15
scarce,seasonal_naive,0.9675925925925927,8.96,15
