city,model_a,model_b,dm_stat,p_value,mean_loss_diff,better,significant_5pct,p_value_fdr,significant_5pct_fdr
accra,seasonal_naive,lgbm_direct,1.1618853045868305,0.24721763782999548,0.16102962416055558,lgbm_direct,False,0.2655300554470322,False
accra,seasonal_naive,chronos,1.3766283103941082,0.17077875738658532,0.20412016974555142,chronos,False,0.19048399862349902,False
accra,seasonal_naive,chronos_cov,-6.977217262006813,1.0345609186872123e-10,-1.3766873109617173,seasonal_naive,True,3.7502833302411447e-10,True
accra,seasonal_naive,chronos_base,1.765792150894205,0.07956484767423729,0.23131838639577249,chronos_base,False,0.10488093557058552,False
accra,seasonal_naive,chronos_base_cov,-7.028036550317713,7.896567256712015e-11,-1.42995032595561,seasonal_naive,True,2.8625056305581056e-10,True
accra,seasonal_naive,timesfm,1.549892813024606,0.12337757880892622,0.20151027838389096,timesfm,False,0.15556303415038525,False
accra,seasonal_naive,timesfm_cov,-7.368247719616248,1.2661442673647084e-11,-1.4138998888760788,seasonal_naive,True,4.589772969197068e-11,True
accra,lgbm_direct,chronos,0.6469296600874095,0.5187145415238527,0.043090545584995844,chronos,False,0.6267800710079886,False
accra,lgbm_direct,chronos_cov,-14.684471384516712,2.404301353809826e-30,-1.5377169351222726,lgbm_direct,True,1.1620789876747492e-29,True
accra,lgbm_direct,chronos_base,0.859175756260177,0.3916815214289494,0.0702887622352169,chronos_base,False,0.5978296906020807,False
accra,lgbm_direct,chronos_base_cov,-14.157820129830421,5.384828519638931e-29,-1.5909799501161654,lgbm_direct,True,1.9520003383691124e-28,True
accra,lgbm_direct,timesfm,0.5845020951191072,0.5598035729900083,0.04048065422333538,timesfm,False,0.755533379682868,False
accra,lgbm_direct,timesfm_cov,-14.68346164680385,2.4186231859829955e-30,-1.5749295130366343,lgbm_direct,True,7.865425887743734e-30,True
accra,chronos,chronos_cov,-12.047397151484496,1.6383798833375678e-23,-1.5808074807072687,chronos,True,5.939127077098683e-23,True
accra,chronos,chronos_base,0.6946767933896423,0.48838501720831695,0.027198216650221055,chronos_base,False,0.7799225723798618,False
accra,chronos,chronos_base_cov,-12.214804396698248,5.982461298658254e-24,-1.6340704957011611,chronos,True,1.5771943423735398e-23,True
accra,chronos,timesfm,-0.08561181956561549,0.9318947515339479,-0.002609891361660467,chronos,False,0.9318947515339479,False
accra,chronos,timesfm_cov,-12.65436058014857,4.258156338259169e-25,-1.61802005862163,chronos,True,1.234865338095159e-24,True
accra,chronos_cov,chronos_base,10.40732571868854,3.1162997737430168e-19,1.6080056973574897,chronos_base,True,9.037269343854748e-19,True
accra,chronos_cov,chronos_base_cov,-3.503485848625838,0.0006133116669684724,-0.05326301499389278,chronos_cov,True,0.0177860383420857,True
accra,chronos_cov,timesfm,11.796533326013058,7.417871602465831e-23,1.578197589345608,timesfm,True,2.3902030719056565e-22,True
accra,chronos_cov,timesfm_cov,-2.114187005666489,0.03623460125955857,-0.0372125779143616,chronos_cov,True,0.11675593739191095,False
accra,chronos_base,chronos_base_cov,-10.562699663046898,1.23060135334699e-19,-1.6612687123513823,chronos_base,True,3.244312658823883e-19,True
accra,chronos_base,timesfm,-1.1870281450610125,0.2371846858626344,-0.02980810801188152,chronos_base,False,0.6392979713903357,False
accra,chronos_base,timesfm_cov,-11.051253855598517,6.570274704892489e-21,-1.6452182752718512,chronos_base,True,1.9053796644188217e-20,True
accra,chronos_base_cov,timesfm,11.988292030936545,2.3384357247209484e-23,1.6314606043395008,timesfm,True,7.534959557434167e-23,True
accra,chronos_base_cov,timesfm_cov,1.0008263749517414,0.31860129098590484,0.01605043707953118,timesfm_cov,False,0.461971871929562,False
accra,timesfm,timesfm_cov,-12.58721630763198,6.37363569573254e-25,-1.6154101672599697,timesfm,True,1.8483543517624364e-24,True
addis_ababa,seasonal_naive,lgbm_direct,9.938147570081874,5.097287419137171e-18,3.397365934374122,lgbm_direct,True,1.4782133515497795e-16,True
addis_ababa,seasonal_naive,chronos,6.046214899655883,1.2280458363251904e-08,2.762765859233008,chronos,True,8.903332313357631e-08,True
addis_ababa,seasonal_naive,chronos_cov,-1.818235874305724,0.07112088022160569,-0.5678478394756932,seasonal_naive,False,0.09375025120120749,False
addis_ababa,seasonal_naive,chronos_base,5.306214182451868,4.172050151833908e-07,2.8488761199845207,chronos_base,True,2.4197890880636667e-06,True
addis_ababa,seasonal_naive,chronos_base_cov,-2.0594272525424047,0.04126719264902632,-0.6907279663897046,seasonal_naive,True,0.05439766303735288,False
addis_ababa,seasonal_naive,timesfm,5.813105089008832,3.83602233289717e-08,2.841168008910285,timesfm,True,2.781116191350448e-07,True
addis_ababa,seasonal_naive,timesfm_cov,-2.1277482020291605,0.03507321548003124,-0.6925369350167727,seasonal_naive,True,0.048434440424805054,True
addis_ababa,lgbm_direct,chronos,-2.2073355860916277,0.02888444802725781,-0.6346000751411133,lgbm_direct,True,0.15345269850705648,False
addis_ababa,lgbm_direct,chronos_cov,-11.260003509346152,1.8733339728223565e-21,-3.965213773849815,lgbm_direct,True,6.036298356872038e-21,True
addis_ababa,lgbm_direct,chronos_base,-1.3712457003414034,0.17244638452045302,-0.548489814389601,lgbm_direct,False,0.33339634340620916,False
addis_ababa,lgbm_direct,chronos_base_cov,-11.629004389423931,2.033709991017285e-22,-4.088093900763827,lgbm_direct,True,5.361599067227388e-22,True
addis_ababa,lgbm_direct,timesfm,-1.4998081210472511,0.13586866959711055,-0.5561979254638367,lgbm_direct,False,0.3940191418316206,False
addis_ababa,lgbm_direct,timesfm_cov,-14.653076554887004,2.8920280814596246e-30,-4.089902869390894,lgbm_direct,True,8.386881436232912e-30,True
addis_ababa,chronos,chronos_cov,-11.419770175265464,7.164815178464452e-22,-3.330613698708701,chronos,True,2.0777964017546908e-21,True
addis_ababa,chronos,chronos_base,0.6927990692556617,0.48955924265578443,0.08611026075151229,chronos_base,False,0.7799225723798618,False
addis_ababa,chronos,chronos_base_cov,-13.621294626683827,1.3055916675496569e-27,-3.4534938256227132,chronos,True,4.732769794867506e-27,True
addis_ababa,chronos,timesfm,0.7372241820081252,0.4621939261071738,0.07840214967727656,timesfm,False,0.7474418219397553,False
addis_ababa,chronos,timesfm_cov,-17.120750415580055,1.918820899815527e-36,-3.455302794249781,chronos,True,9.274301015775045e-36,True
