city,chronos,lgbm_direct,fm_advantage,usable_hours
accra,0.7796881357372157,0.8524326152191208,0.0727444794819051,8160
addis_ababa,0.9781795401358184,0.5466885957567518,-0.43149094437906665,3610
amsterdam,0.7194074987296097,0.9838700431131004,0.2644625443834907,11228
bangkok,0.66781793135934,0.8033401491371677,0.1355222177778277,18164
berlin,1.2116489911970016,1.2695513406515389,0.057902349454537205,19574
bogota,0.7906007881186756,0.5959090786504513,-0.19469170946822434,5175
delhi,1.3454555509016937,1.0169981037760043,-0.32845744712568936,2518
dhaka,0.7914091307480148,0.7355568218144353,-0.05585230893357951,9395
hanoi,0.3952678809723099,0.4634991016472493,0.06823122067493936,6062
jakarta,0.448866221646798,0.4964679222700917,0.047601700623293663,7024
kampala,1.1204171140385832,0.7687788520849509,-0.35163826195363235,2836
karachi,0.2657124340398197,0.3035502136713363,0.03783777963151658,5214
krakow,0.5380499499252844,0.5864933623695227,0.04844341244423822,9344
lagos,0.5979837536621698,0.6561431680787134,0.0581594144165436,3378
lahore,0.6766324996206801,0.843960954857014,0.16732845523633388,5563
lima,0.5720695762034578,0.4495813357533039,-0.12248824045015388,5227
los_angeles,1.4499941610338136,0.9770416375164472,-0.4729525235173664,8195
madrid,0.8582892943601603,1.1143263454554475,0.2560370510952872,6431
manila,0.6814982304763713,0.5994881441822677,-0.08201008629410356,10992
mexico_city,1.097216415683139,0.8450952072268897,-0.2521212084562493,3371
mumbai,0.9080854457845772,0.7081533034652118,-0.1999321423193654,3004
nairobi,0.7122038450130723,0.706712699601553,-0.005491145411519294,13576
new_york,0.4683545896858124,0.4335679922026718,-0.03478659748314061,13421
paris,0.6589900526350421,0.9824384468816738,0.32344839424663174,4457
santiago,1.0779504905386257,0.7993560834588989,-0.2785944070797268,16288
seoul,1.0063744217123065,0.861888822018582,-0.14448559969372454,19827
sydney,0.8753991623247194,0.7740776167015115,-0.10132154562320783,7277
toronto,0.6685755225913632,0.5489103645239894,-0.11966515806737377,13518
vienna,0.619662337881545,0.8679085893494227,0.2482462514678777,6241
