city,model_a,model_b,dm_stat,p_value,mean_loss_diff,better,significant_5pct,p_value_fdr,significant_5pct_fdr
accra,seasonal_naive,lgbm_direct,3.333334532862012,0.0010927225314731346,0.4257002611254377,lgbm_direct,True,0.0018070285919471328,True
accra,seasonal_naive,chronos,1.3766283103941082,0.17077875738658532,0.20412016974555142,chronos,False,0.19048399862349902,False
accra,seasonal_naive,chronos_cov,3.1971844192848464,0.001708589869622694,0.35228413710713535,chronos_cov,True,0.004954910621905812,True
accra,seasonal_naive,timesfm,1.549892813024606,0.12337757880892622,0.20151027838389096,timesfm,False,0.15556303415038525,False
accra,seasonal_naive,timesfm_cov,3.108558177206193,0.002268905358579021,0.36366799988571025,timesfm_cov,True,0.006579825539879161,True
accra,lgbm_direct,chronos,-5.491633413880951,1.768895570545321e-07,-0.22158009137988627,lgbm_direct,True,5.129797154581431e-06,True
accra,lgbm_direct,chronos_cov,-1.6916959686412414,0.09288200765890564,-0.07341612401830232,lgbm_direct,False,0.2448707474643876,False
accra,lgbm_direct,timesfm,-7.1946270928280525,3.2374922737485604e-11,-0.22418998274154672,lgbm_direct,True,9.388727593870825e-10,True
accra,lgbm_direct,timesfm_cov,-1.395058408608111,0.1651611909189774,-0.062032261239727444,lgbm_direct,False,0.2993546585406466,False
accra,chronos,chronos_cov,1.957519969112011,0.05223351537847943,0.14816396736158394,chronos_cov,False,0.25246199099598393,False
accra,chronos,timesfm,-0.08561181956561549,0.9318947515339479,-0.002609891361660467,chronos,False,0.9318947515339479,False
accra,chronos,timesfm_cov,2.064091030650483,0.040816425648361035,0.15954783014015883,timesfm_cov,True,0.29217890765996113,False
accra,chronos_cov,timesfm,-2.51458027241606,0.01302443036213761,-0.15077385872324442,chronos_cov,True,0.0655066224079487,False
accra,chronos_cov,timesfm_cov,0.6469830153990086,0.5186801089843511,0.011383862778574875,timesfm_cov,False,0.6968142900568656,False
accra,timesfm,timesfm_cov,2.7208389811965072,0.007320388501893781,0.16215772150181929,timesfm_cov,True,0.04245825331098393,True
addis_ababa,seasonal_naive,lgbm_direct,12.088099769008132,1.2823893498560263e-23,3.7503276921144018,lgbm_direct,True,3.718929114582476e-22,True
addis_ababa,seasonal_naive,chronos,6.046214899655883,1.2280458363251904e-08,2.762765859233008,chronos,True,8.903332313357631e-08,True
addis_ababa,seasonal_naive,chronos_cov,8.539495117669432,1.810083647108305e-14,2.9238811017260122,chronos_cov,True,2.6246212883070425e-13,True
addis_ababa,seasonal_naive,timesfm,5.813105089008832,3.83602233289717e-08,2.841168008910285,timesfm,True,2.781116191350448e-07,True
addis_ababa,seasonal_naive,timesfm_cov,8.319941335591428,6.337239808483297e-14,2.954542513347543,timesfm_cov,True,9.188997722300782e-13,True
addis_ababa,lgbm_direct,chronos,-3.3368336115055137,0.0010800484070474863,-0.9875618328813933,lgbm_direct,True,0.0062642807608754205,True
addis_ababa,lgbm_direct,chronos_cov,-4.668526489262768,6.917926019161234e-06,-0.8264465903883897,lgbm_direct,True,0.00020061985455567579,True
addis_ababa,lgbm_direct,timesfm,-2.4095222021546876,0.01724528423745304,-0.9091596832041168,lgbm_direct,True,0.046119400037486206,True
addis_ababa,lgbm_direct,timesfm_cov,-4.798516322007787,3.9766492157277644e-06,-0.7957851787668583,lgbm_direct,True,5.766141362805259e-05,True
addis_ababa,chronos,chronos_cov,0.515352883079706,0.607102225549092,0.16111524249300352,chronos_cov,False,0.677152482343218,False
addis_ababa,chronos,timesfm,0.7372241820081252,0.4621939261071738,0.07840214967727656,timesfm,False,0.7474418219397553,False
addis_ababa,chronos,timesfm_cov,0.6423870521050471,0.5216504571684688,0.19177665411453496,timesfm_cov,False,0.6876301480857089,False
addis_ababa,chronos_cov,timesfm,-0.21873690478636953,0.8271668719416518,-0.08271309281572695,chronos_cov,False,0.8980109575603146,False
addis_ababa,chronos_cov,timesfm_cov,0.6483366260178509,0.5178069636020655,0.030661411621531513,timesfm_cov,False,0.6968142900568656,False
addis_ababa,timesfm,timesfm_cov,0.3066197905444347,0.7595787944443833,0.11337450443725844,timesfm_cov,False,0.8158438903291524,False
amsterdam,seasonal_naive,lgbm_direct,2.109567774657745,0.036637686051825144,1.1330746173889308,lgbm_direct,True,0.044270537312622045,True
amsterdam,seasonal_naive,chronos,1.923482342886594,0.05640658154355194,1.2345142457220288,chronos,False,0.07789480308395268,False
amsterdam,seasonal_naive,chronos_cov,0.9826104603615192,0.32745874692927335,0.8680685767505598,chronos_cov,False,0.36524244849803567,False
amsterdam,seasonal_naive,timesfm,1.761387049934445,0.08031013414274854,1.1087234814961748,timesfm,False,0.1109044709590337,False
amsterdam,seasonal_naive,timesfm_cov,0.6936646737143161,0.48901775049318286,0.6205666763483829,timesfm_cov,False,0.5454428755500886,False
amsterdam,lgbm_direct,chronos,0.2861969627596828,0.775141465997672,0.10143962833309816,chronos,False,0.8028250897833031,False
amsterdam,lgbm_direct,chronos_cov,-0.37139870270963354,0.7108902876812052,-0.26500604063837074,lgbm_direct,False,0.7635488275094426,False
amsterdam,lgbm_direct,timesfm,-0.09187568309243499,0.9269253928497508,-0.02435113589275564,lgbm_direct,False,0.9269253928497508,False
amsterdam,lgbm_direct,timesfm_cov,-0.7822360897808057,0.4353691927873313,-0.5125079410405478,lgbm_direct,False,0.5260711079513587,False
amsterdam,chronos,chronos_cov,-0.6259061606607761,0.5323742235160773,-0.3664456689714688,chronos,False,0.677152482343218,False
amsterdam,chronos,timesfm,-0.5975779548775462,0.5510666989676268,-0.1257907642258538,chronos,False,0.7474418219397553,False
amsterdam,chronos,timesfm_cov,-1.0811639983463759,0.2814441031457455,-0.613947569373646,chronos,False,0.6839650372365473,False
amsterdam,chronos_cov,timesfm,0.34868552049054874,0.7278382611152251,0.24065490474561516,timesfm,False,0.8442923828936612,False
amsterdam,chronos_cov,timesfm_cov,-1.5052726595405137,0.13445962252602475,-0.24750190040217712,chronos_cov,False,0.5991517718601582,False
amsterdam,timesfm,timesfm_cov,-0.7548473480318889,0.451581959730882,-0.48815680514779225,timesfm,False,0.6236131824855038,False
bangkok,seasonal_naive,lgbm_direct,3.2537801737141865,0.0014212101820885036,2.028330971448902,lgbm_direct,True,0.002169215541082453,True
