city,tier,model,seed,n_hours,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
accra,scarce,seasonal_naive,,8160,0.6659722222222223,0.8605150266620051,1.1242791660505693,0.40197209955537333,3.0310942452319836,6.477426234562665e-10,,,,,tdp_proxy,0
accra,scarce,lgbm_direct,,8160,0.5049425980616667,0.6671431995474485,0.8524326152191208,0.3116423819656444,2.3499577000277045,1.342367173198774e-05,,,,,tdp_proxy,0
accra,scarce,chronos,,8160,0.4618520524766709,0.5896694959013181,0.7796881357372157,0.2754521164269138,2.0770628754137572,6.33048767339359e-05,,,,,tdp_proxy,47718016
accra,scarce,chronos_cov,,8160,2.0426595331839392,2.72230977839918,3.4483713882693734,1.2716716656396752,9.589114945561066,2.6904512151304515e-05,,,,,tdp_proxy,47718016
addis_ababa,scarce,seasonal_naive,,3610,4.201388888888889,4.857654326478527,2.856698778308948,1.3448622240901607,32.000650670795004,5.792822203484657e-10,,,,,tdp_proxy,0
addis_ababa,scarce,lgbm_direct,,3610,0.8040229545147672,1.053348366706973,0.5466885957567518,0.29162396745060776,6.939117288339088,1.2409045427914491e-05,,,,,tdp_proxy,0
addis_ababa,scarce,chronos,,3610,1.4386230296558804,2.0850385799015867,0.9781795401358185,0.5772517831488052,13.735557688175513,2.3730680554763238e-05,,,,,tdp_proxy,47718016
addis_ababa,scarce,chronos_cov,,3610,4.769236728364581,5.827480799894924,3.2428021056123604,1.6133628007801886,38.389552824231174,3.029834548619369e-05,,,,,tdp_proxy,47718016
amsterdam,rich,seasonal_naive,,11043,2.8388888888888886,3.4694099722511256,1.272968233090199,0.7619836828176121,15.28888931065159,5.792822203484657e-10,,,,,tdp_proxy,0
amsterdam,rich,lgbm_direct,,11043,2.1941613788146284,2.766565911089712,0.9838700431131003,0.6076186148510939,12.191617688187977,1.2903257582702617e-05,,,,,tdp_proxy,0
amsterdam,rich,chronos,,11043,1.60437464316686,2.3791907384164417,0.7194074987296097,0.5225397215907037,10.48454467460194,2.2582072909547908e-05,,,,,tdp_proxy,47718016
amsterdam,rich,chronos_cov,,11043,4.343612938182099,5.7588737287308,1.9476920385247969,1.2648167405400716,25.378027877015487,2.844469444223958e-05,,,,,tdp_proxy,47718016
bangkok,rich,seasonal_naive,,18164,2.5034722222222223,3.026744217068161,2.5074292677436674,1.2041598714866426,9.512454816949633,4.0286458560903726e-10,,,,,tdp_proxy,0
bangkok,rich,lgbm_direct,,18164,0.802072375174315,1.0475869802957034,0.8033401491371677,0.4167719876857855,3.2923574316895023,1.3506427488007628e-05,,,,,tdp_proxy,0
bangkok,rich,chronos,,18164,0.6667640288670857,1.023322913082641,0.66781793135934,0.4071187715691867,3.21610029646872,2.4550677083728562e-05,,,,,tdp_proxy,47718016
bangkok,rich,chronos_cov,,18164,2.091910648699329,2.851475172437215,2.0952171705733167,1.1344308375404504,8.961619084461882,3.0231067712520597e-05,,,,,tdp_proxy,47718016
berlin,rich,seasonal_naive,,19312,5.020833333333333,6.188441286427104,2.1446049174195108,1.0759796903982601,22.015849624367,4.1866331701856793e-10,,,,,tdp_proxy,0
berlin,rich,lgbm_direct,,19312,2.972205107685294,4.079784575580886,1.2695513406515389,0.7093491141546484,14.51414331308268,1.358959664339973e-05,,,,,tdp_proxy,0
berlin,rich,chronos,,19312,2.8366472509172223,3.9517395829007755,1.2116489911970016,0.6870860263746661,14.058613532072824,2.181344617787949e-05,,,,,tdp_proxy,47718016
berlin,rich,chronos_cov,,19312,6.650984035527766,8.497485720387132,2.8409094907760686,1.4774515312343803,30.230450471520797,3.224195139005638e-05,,,,,tdp_proxy,47718016
bogota,scarce,seasonal_naive,,5175,1.098611111111111,1.3922902794396799,0.8426516695006562,0.31521435493518724,10.147272003204469,4.2392956082174485e-10,,,,,tdp_proxy,0
bogota,scarce,lgbm_direct,,5175,0.7769192879013942,1.1600484991277835,0.5959090786504513,0.2626348432837267,8.454650464338538,1.2492720140412697e-05,,,,,tdp_proxy,0
bogota,scarce,chronos,,5175,1.0307495276133218,1.3831246217383133,0.7906007881186756,0.3131392511134068,10.080470975317194,2.2039961815810075e-05,,,,,tdp_proxy,47718016
bogota,scarce,chronos_cov,,5175,5.315798734409622,6.355644214601926,4.077299631303939,1.4389171000386176,46.321123944866756,2.7145538196135832e-05,,,,,tdp_proxy,47718016
delhi,scarce,seasonal_naive,,2530,7.842361111111111,8.68654371235572,5.671664710485133,1.7998211828693782,53.48536770766766,4.265626827233332e-10,,,,,tdp_proxy,0
delhi,scarce,lgbm_direct,,2530,1.406230231554797,1.9258957518163875,1.0169981037760043,0.3990387989629143,11.858254083959455,1.2732248148150002e-05,,,,,tdp_proxy,0
delhi,scarce,chronos,,2530,1.8603970487912496,2.7401452966030537,1.3454555509016937,0.5677484293265146,16.87180581993585,2.2150418405241605e-05,,,,,tdp_proxy,47718016
delhi,scarce,chronos_cov,,2530,4.178393010226209,4.8804335752473,3.021850670592255,1.0112086027752112,30.050131903861597,3.1333142360381316e-05,,,,,tdp_proxy,47718016
dhaka,scarce,seasonal_naive,,9395,1.6006944444444444,1.9426678391668848,1.3157076360184659,0.5344607577794006,6.318903319103509,3.9496521990427193e-10,,,,,tdp_proxy,0
dhaka,scarce,lgbm_direct,,9395,0.8948809644478296,1.234183754115489,0.7355568218144353,0.3395448110915707,4.0144216437991105,1.385171403303839e-05,,,,,tdp_proxy,0
dhaka,scarce,chronos,,9395,0.9628310759862266,1.3748784988549556,0.7914091307480148,0.3782523134102802,4.472058544760987,2.1944076383483155e-05,,,,,tdp_proxy,47718016
dhaka,scarce,chronos_cov,,9395,3.287637594623517,3.8426003060035656,2.7023083029496147,1.0571642923119384,12.49880156455724,2.8882036447410227e-05,,,,,tdp_proxy,47718016
hanoi,scarce,seasonal_naive,,6062,0.9854166666666667,1.220854664205003,0.558047409955354,0.510035342924528,4.0555277317935925,4.081308294122142e-10,,,,,tdp_proxy,0
hanoi,scarce,lgbm_direct,,6062,0.8184604598106959,1.1625580578084906,0.46349910164724933,0.4856808226801849,3.8618736377868608,1.2983085329391611e-05,,,,,tdp_proxy,0
hanoi,scarce,chronos,,6062,0.6979757467905681,0.9867975662754455,0.39526788097230997,0.412253521953923,3.2780190902596167,1.9491791670386897e-05,,,,,tdp_proxy,47718016
hanoi,scarce,chronos_cov,,6062,2.146499557276877,2.391569914501599,1.215575663501404,0.9991239884930183,7.944498551021481,2.7759472226433802e-05,,,,,tdp_proxy,47718016
jakarta,scarce,seasonal_naive,,7024,0.629861111111111,0.7801798225765362,0.6476487811055951,0.2805006371686018,2.850405806338388,4.133970732153911e-10,,,,,tdp_proxy,0
jakarta,scarce,lgbm_direct,,7024,0.4828324336814893,0.6130258280743278,0.4964679222700917,0.22040320756794485,2.2397046542523777,1.3117786921923282e-05,,,,,tdp_proxy,0
jakarta,scarce,chronos,,7024,0.4365381134880916,0.5686217944443864,0.44886622164679807,0.20443847819962963,2.077473445983449,2.1143184032249943e-05,,,,,tdp_proxy,47718016
jakarta,scarce,chronos_cov,,7024,2.224737786004047,3.154861121788994,2.2875657664327647,1.1342776744952914,11.526361230466717,2.785884548656112e-05,,,,,tdp_proxy,47718016
kampala,scarce,seasonal_naive,,2836,3.4,4.4029346274199135,2.5722954771019424,1.5888807374771803,20.125145579877717,4.0286458560903726e-10,,,,,tdp_proxy,0
kampala,scarce,lgbm_direct,,2836,1.0161539062509668,1.351505236226491,0.7687788520849509,0.48771576644965237,6.177525203676191,1.337603365148728e-05,,,,,tdp_proxy,0
kampala,scarce,chronos,,2836,1.4809411366780598,2.2599062331232296,1.1204171140385832,0.8155291382144025,10.32968821640887,2.010474131818935e-05,,,,,tdp_proxy,47718016
kampala,scarce,chronos_cov,,2836,3.1567091207995817,3.979734638361459,2.3882319393997684,1.436161161190952,18.190762694389605,2.593410069241347e-05,,,,,tdp_proxy,47718016
karachi,scarce,seasonal_naive,,5214,0.5375000000000001,0.62449979983984,0.4924960505529226,0.5097670048663381,1.9924220932078647,4.081308294122142e-10,,,,,tdp_proxy,0
karachi,scarce,lgbm_direct,,5214,0.3312884228516481,0.44775916779540254,0.30355021367133633,0.36549707450193647,1.4285437058278048,1.3441424103440887e-05,,,,,tdp_proxy,0
karachi,scarce,chronos,,5214,0.28999305301242395,0.3870538969422421,0.2657124340398197,0.31594454604579975,1.2348678666153288,1.9112770837131795e-05,,,,,tdp_proxy,47718016
karachi,scarce,chronos_cov,,5214,1.9410818370375114,2.6775924884816464,1.7785583972855552,2.1856665181573316,8.542667959263479,2.7475279515177436e-05,,,,,tdp_proxy,47718016
krakow,rich,seasonal_naive,,9344,5.197222222222223,6.4046315706335175,2.0187488300207046,2.6356289654030034,474.9057395320425,6.477433897897652e-10,,,,,tdp_proxy,0
krakow,rich,lgbm_direct,,9344,1.5099136112249545,2.08856969179103,0.5864933623695227,0.8594865630034613,154.86819547781067,1.3777552721000606e-05,,,,,tdp_proxy,0
krakow,rich,chronos,,9344,1.3851971651117008,1.955215176073621,0.5380499499252844,0.8046086171894248,144.9799100693107,2.517157465920011e-05,,,,,tdp_proxy,47718016
krakow,rich,chronos_cov,,9344,1.3309036992775662,1.8498824715472237,0.5169608246302796,0.76126218515937,137.16945206117416,3.0329505205170592e-05,,,,,tdp_proxy,47718016
lagos,scarce,seasonal_naive,,3378,0.9333333333333331,1.1919288755812754,1.1560425991665377,0.8971766999018145,4.602041990661294,3.975983418058604e-10,,,,,tdp_proxy,0
lagos,scarce,lgbm_direct,,3378,0.5297385153871632,0.7368556154519844,0.6561431680787134,0.5546385383548444,2.845002376262488,1.2982058418746991e-05,,,,,tdp_proxy,0
lagos,scarce,chronos,,3378,0.4827833943896821,0.7282405152431941,0.5979837536621698,0.5481538668840937,2.8117394410934136,2.350845486236924e-05,,,,,tdp_proxy,47718016
lagos,scarce,chronos_cov,,3378,1.6821954523554272,1.940731854459984,2.083596003264748,1.4608081373392394,7.493173183243181,2.7696642364389844e-05,,,,,tdp_proxy,47718016
lahore,scarce,seasonal_naive,,5563,2.328472222222222,2.546061773711619,2.11804209052249,0.5717538534366242,14.344009992741517,3.8706585419950664e-10,,,,,tdp_proxy,0
lahore,scarce,lgbm_direct,,5563,0.9278095316509637,1.2198801459155122,0.843960954857014,0.27394118295144904,6.8725642023409135,1.3806980266837046e-05,,,,,tdp_proxy,0
lahore,scarce,chronos,,5563,0.7438567850324843,1.094012057792956,0.6766324996206801,0.24567573976706725,6.163448212918062,2.3892494788621358e-05,,,,,tdp_proxy,47718016
lahore,scarce,chronos_cov,,5563,5.032798369400968,5.65600223766709,4.577971202650182,1.2701345693266792,31.864801338969524,2.939306076768844e-05,,,,,tdp_proxy,47718016
lima,scarce,seasonal_naive,,5227,0.7409722222222224,1.1482776957977836,1.3695938882799499,0.6849289357442592,7.17642412199474,4.2919580462492173e-10,,,,,tdp_proxy,0
lima,scarce,lgbm_direct,,5227,0.24323070092049676,0.33844060889685246,0.44958133575330395,0.20187430872573747,2.1151620016990034,1.2779098930566222e-05,,,,,tdp_proxy,0
lima,scarce,chronos,,5227,0.3094988001717462,0.40106913451983645,0.5720695762034578,0.239231203803613,2.5065732985051183,1.9861868047680924e-05,,,,,tdp_proxy,47718016
lima,scarce,chronos_cov,,5227,1.7774736305225867,2.498151903207575,3.285436279435062,1.4901069058932448,15.612771757384259,2.7891815972604183e-05,,,,,tdp_proxy,47718016
los_angeles,rich,seasonal_naive,,8195,5.611805555555556,7.2195000211618225,3.6188763361674594,1.2888589909165205,28.89324929955539,4.107631849803039e-10,,,,,tdp_proxy,0
los_angeles,rich,lgbm_direct,,8195,1.5151022527701477,2.0140620845820205,0.9770416375164471,0.3595598058547913,8.060502492421305,1.3642416667953174e-05,,,,,tdp_proxy,0
los_angeles,rich,chronos,,8195,2.2485115634070505,3.9328362918277766,1.4499941610338136,0.702108373109928,15.73965220597537,2.1248597222943826e-05,,,,,tdp_proxy,47718016
los_angeles,rich,chronos_cov,,8195,7.892523568640235,9.577796077229383,5.089639420403709,1.7098730592309772,38.33141477782805,3.0043671877643243e-05,,,,,tdp_proxy,47718016
madrid,rich,seasonal_naive,,6431,3.4027777777777777,3.8594400860458733,1.6611919169873355,1.5312879413010116,64.48072541949249,5.898147079548195e-10,,,,,tdp_proxy,0
madrid,rich,lgbm_direct,,6431,2.2825808907045317,2.883021240370768,1.1143263454554477,1.1438798275056237,48.16742761496583,1.3847956597205497e-05,,,,,tdp_proxy,0
madrid,rich,chronos,,6431,1.7581157889631058,2.1491529304961725,0.8582892943601603,0.8527071007992334,35.90648822269971,2.031583507333481e-05,,,,,tdp_proxy,47718016
madrid,rich,chronos_cov,,6431,3.374917933498483,4.19125149281007,1.6475911028443928,1.6629388529970408,70.0243897162838,2.947520138150139e-05,,,,,tdp_proxy,47718016
manila,scarce,seasonal_naive,,10992,0.9222222222222225,1.1531358212379939,1.0501097575515304,0.46360066239067427,4.301630958454773,4.3446204842809865e-10,,,,,tdp_proxy,0
manila,scarce,lgbm_direct,,10992,0.5264795270665004,0.6780599240987751,0.5994881441822677,0.27260364665047077,2.5294189179375066,1.3866348814981728e-05,,,,,tdp_proxy,0
manila,scarce,chronos,,10992,0.5985020213656956,0.7474651362146615,0.6814982304763713,0.3005069531974359,2.7883265016038354,2.1003791670813776e-05,,,,,tdp_proxy,47718016
manila,scarce,chronos_cov,,10992,1.9622873839507602,2.6442581221452115,2.2344041157906784,1.0630836319370858,9.8640787935576,2.8347848957916236e-05,,,,,tdp_proxy,47718016
mexico_city,rich,seasonal_naive,,3371,2.7506944444444446,3.946579039004681,1.8336054746213435,0.8014827174694996,19.43329850966605,4.950230858311341e-10,,,,,tdp_proxy,0
mexico_city,rich,lgbm_direct,,3371,1.267774733289168,1.7431988392138522,0.8450952072268897,0.35401387605178997,8.583662728997218,1.2474959867294847e-05,,,,,tdp_proxy,0
mexico_city,rich,chronos,,3371,1.6459959030151365,2.541754598265055,1.097216415683139,0.5161868956441432,12.515820754690461,2.4758282979241306e-05,,,,,tdp_proxy,47718016
mexico_city,rich,chronos_cov,,3371,5.60226934340722,6.550440440815798,3.7344575872910144,1.3302824429055924,32.254938567825015,2.6666038191554738e-05,,,,,tdp_proxy,47718016
mumbai,scarce,seasonal_naive,,3348,1.5791666666666666,1.9194544942653773,1.5556846344485749,0.5238178228291993,8.265099191860962,4.0023146370744885e-10,,,,,tdp_proxy,0
mumbai,scarce,lgbm_direct,,3348,0.7188424099326112,0.9363983861727557,0.7081533034652118,0.255542481163908,4.032096394021794,1.3375765074585987e-05,,,,,tdp_proxy,0
mumbai,scarce,chronos,,3348,0.9217923959096272,1.1844856421241623,0.9080854457845771,0.32324532417080726,5.100350830269702,2.4802506948920682e-05,,,,,tdp_proxy,47718016
mumbai,scarce,chronos_cov,,3348,3.723948656073569,4.212342347876338,3.668573954868014,1.1495453548224404,18.138188448483724,3.21735920179991e-05,,,,,tdp_proxy,47718016
nairobi,scarce,seasonal_naive,,13576,1.0479166666666666,1.298155743096079,1.1172622550188986,0.31816242668201355,6.349243495884634,6.003471955611732e-10,,,,,tdp_proxy,0
nairobi,scarce,lgbm_direct,,13576,0.6628488639356511,0.8475697919892324,0.706712699601553,0.20772920601846862,4.1454401890649235,1.3099916058451899e-05,,,,,tdp_proxy,0
nairobi,scarce,chronos,,13576,0.6679991881052652,0.8550491374404019,0.7122038450130723,0.2095623040203014,4.182021458848512,2.596340103991679e-05,,,,,tdp_proxy,47718016
nairobi,scarce,chronos_cov,,13576,3.355345270921613,4.5433485871214625,3.577384293048314,1.1135203302288792,22.221391092503588,2.9073722220750318e-05,,,,,tdp_proxy,47718016
new_york,rich,seasonal_naive,,13421,2.670138888888889,3.409718544917682,0.9198735292214788,1.0120547398369149,15.841247635687893,4.212964389201564e-10,,,,,tdp_proxy,0
new_york,rich,lgbm_direct,,13421,1.2585281782568734,1.6330734299856458,0.4335679922026718,0.4847202734026841,7.587113209160607,1.3402106626842768e-05,,,,,tdp_proxy,0
new_york,rich,chronos,,13421,1.3595040665732487,1.842881358885511,0.4683545896858124,0.5469943602814887,8.56186209645148,2.2581526040994506e-05,,,,,tdp_proxy,47718016
new_york,rich,chronos_cov,,13421,4.563751225197037,6.850421049631526,1.5722305545528266,2.033305975794415,31.826443979575412,3.2841946177136884e-05,,,,,tdp_proxy,47718016
paris,rich,seasonal_naive,,4457,2.435416666666667,2.971075843304352,1.0526556568913972,0.9598031983400852,41.217237132545925,4.0023146370744885e-10,,,,,tdp_proxy,0
paris,rich,lgbm_direct,,4457,2.272962627280683,2.863834139509171,0.9824384468816738,0.9251588689029822,39.72949095272838,1.3010019328711916e-05,,,,,tdp_proxy,0
paris,rich,chronos,,4457,1.5246347149213155,1.9259244992371738,0.6589900526350421,0.6221680601978521,26.718027735082178,2.9737142360520213e-05,,,,,tdp_proxy,47718016
paris,rich,chronos_cov,,4457,3.7107992635025493,4.768781893024543,1.6039119259460277,1.5405504115373647,66.1565118107451,2.654274825949364e-05,,,,,tdp_proxy,47718016
santiago,rich,seasonal_naive,,16288,3.252777777777778,4.304390523381653,1.379245542198958,0.7160138454085517,22.120275342313192,4.160301951169795e-10,,,,,tdp_proxy,0
santiago,rich,lgbm_direct,,16288,1.8851811553881488,2.314205102536412,0.7993560834588989,0.38495644982263344,11.892706711582145,1.3995349739978471e-05,,,,,tdp_proxy,0
santiago,rich,chronos,,16288,2.542211153772142,3.2380205045434627,1.0779504905386257,0.5386285236843353,16.640196732959513,2.2593873261737623e-05,,,,,tdp_proxy,47718016
santiago,rich,chronos_cov,,16288,5.79766963723785,7.360674555691726,2.458332707795832,1.2244114154589256,37.82652781912167,3.2007670135196047e-05,,,,,tdp_proxy,47718016
seoul,rich,seasonal_naive,,19536,4.291666666666667,5.011403662315247,1.8868537002272276,1.2521539588180572,19.990086630841983,4.0286458560903726e-10,,,,,tdp_proxy,0
seoul,rich,lgbm_direct,,19536,1.9603743138030767,2.481705466814982,0.861888822018582,0.6200812255976109,9.899323745743972,1.6036327546460058e-05,,,,,tdp_proxy,0
seoul,rich,chronos,,19536,2.2890081829494897,2.6448287217798083,1.0063744217123063,0.6608393531089616,10.550009305714472,2.8139380205074204e-05,,,,,tdp_proxy,47718016
seoul,rich,chronos_cov,,19536,5.446768494477028,7.005963849663736,2.3947002613013746,1.7505166138701678,27.946226990348425,4.9619767358611475e-05,,,,,tdp_proxy,47718016
sydney,rich,seasonal_naive,,7277,2.9840277777777775,3.6571182492351664,1.3448537113582153,1.314767862831263,22.29289370062498,4.2919580462492173e-10,,,,,tdp_proxy,0
sydney,rich,lgbm_direct,,7277,1.7175616134936424,2.3384051464882596,0.7740776167015115,0.8406782956840333,14.254342847830898,1.4193451158100151e-05,,,,,tdp_proxy,0
sydney,rich,chronos,,7277,1.94237885872523,2.632081491034535,0.8753991623247194,0.9462576599728295,16.044521640307032,2.3375770828756177e-05,,,,,tdp_proxy,47718016
sydney,rich,chronos_cov,,7277,2.936793966158903,3.5605972131626564,1.323566186044177,1.2800676569131597,21.704525195589998,3.436227083360184e-05,,,,,tdp_proxy,47718016
toronto,rich,seasonal_naive,,13518,3.5250000000000004,4.132509998643547,1.0379538135780142,1.0136754153073062,16.362326151521096,4.1866331701856793e-10,,,,,tdp_proxy,0
toronto,rich,lgbm_direct,,13518,1.8641571615572008,2.403509133766411,0.5489103645239894,0.5895637566915229,9.516492487073144,1.4077444589298062e-05,,,,,tdp_proxy,0
toronto,rich,chronos,,13518,2.2705525875091555,3.4747074546801637,0.6685755225913632,0.8523211131613574,13.757812243227573,2.4125342008321444e-05,,,,,tdp_proxy,47718016
toronto,rich,chronos_cov,,13518,7.453361067335436,9.276618676976476,2.1946793032098477,2.2754888174785384,36.72999228696452,2.867985069315182e-05,,,,,tdp_proxy,47718016
vienna,rich,seasonal_naive,,5960,3.7666666666666666,4.081989574813842,1.7541636514700758,0.8575828883885013,13.090584120731204,4.1866255068506924e-10,,,,,tdp_proxy,0
vienna,rich,lgbm_direct,,5960,1.863635898780865,2.2168753893649353,0.8679085893494227,0.4657421006999182,7.109325792676451,1.3114761486315695e-05,,,,,tdp_proxy,0
vienna,rich,chronos,,5960,1.3305836492114598,1.6643791870625828,0.619662337881545,0.3496684850499475,5.337518716722979,2.251553646096403e-05,,,,,tdp_proxy,47718016
vienna,rich,chronos_cov,,5960,5.980806442347961,7.211283526435132,2.7853044073393414,1.5150144904205665,23.12595656875173,3.0334487850167433e-05,,,,,tdp_proxy,47718016
