city,tier,model,q,coverage,width
accra,scarce,seasonal_naive,1.3999999999999986,0.9107142857142857,2.799999999999997
accra,scarce,lgbm_direct,0.7499574960698361,0.9821428571428571,1.4999149921396722
accra,scarce,chronos,1.249356842041017,0.9642857142857143,2.498713684082034
accra,scarce,chronos_cov,1.0351545850743449,0.9642857142857143,2.0703091701486898
accra,scarce,nas_gru,1.6120185852050781,0.9285714285714286,3.2240371704101562
addis_ababa,scarce,seasonal_naive,4.100000000000001,0.5714285714285714,8.200000000000003
addis_ababa,scarce,lgbm_direct,1.2892619302119765,0.9702380952380952,2.578523860423953
addis_ababa,scarce,chronos,2.3694393157958977,0.8035714285714286,4.7388786315917955
addis_ababa,scarce,chronos_cov,2.0635910925919934,0.7738095238095238,4.127182185183987
addis_ababa,scarce,nas_gru,3.3569623947143548,0.9285714285714286,6.7139247894287095
amsterdam,rich,seasonal_naive,12.899999999999999,0.9285714285714286,25.799999999999997
amsterdam,rich,lgbm_direct,4.746902446850594,1.0,9.493804893701189
amsterdam,rich,chronos,5.841358566284178,1.0,11.682717132568357
amsterdam,rich,chronos_cov,4.979072941790967,1.0,9.958145883581935
amsterdam,rich,nas_gru,5.512886810302735,1.0,11.02577362060547
bangkok,rich,seasonal_naive,3.0,0.6547619047619048,6.0
bangkok,rich,lgbm_direct,1.5053208817383812,1.0,3.0106417634767624
bangkok,rich,chronos,2.485292816162108,0.9821428571428571,4.970585632324216
bangkok,rich,chronos_cov,1.5496193024764402,0.9642857142857143,3.0992386049528804
bangkok,rich,nas_gru,2.4279602050781257,0.9761904761904762,4.855920410156251
berlin,rich,seasonal_naive,16.4,0.9642857142857143,32.8
berlin,rich,lgbm_direct,4.341250033724808,1.0,8.682500067449617
berlin,rich,chronos,10.00810546875,1.0,20.0162109375
berlin,rich,chronos_cov,5.954899481821069,1.0,11.909798963642139
berlin,rich,nas_gru,9.237630462646486,1.0,18.47526092529297
bogota,scarce,seasonal_naive,9.400000000000002,1.0,18.800000000000004
bogota,scarce,lgbm_direct,1.1610343815174176,0.9107142857142857,2.322068763034835
bogota,scarce,chronos,2.196529960632324,0.9404761904761905,4.393059921264648
bogota,scarce,chronos_cov,1.5186882950263207,0.8154761904761905,3.0373765900526415
bogota,scarce,nas_gru,2.891675186157226,0.8630952380952381,5.783350372314452
delhi,scarce,seasonal_naive,9.7,0.6488095238095238,19.4
delhi,scarce,lgbm_direct,1.9007434107114154,0.7976190476190477,3.801486821422831
delhi,scarce,chronos,4.315191078186036,0.8095238095238095,8.630382156372072
delhi,scarce,chronos_cov,1.7947963544109733,0.6309523809523809,3.5895927088219466
delhi,scarce,nas_gru,6.608525466918945,0.8690476190476191,13.21705093383789
dhaka,scarce,seasonal_naive,8.099999999999998,1.0,16.199999999999996
