city,model_a,model_b,dm_stat,p_value,mean_loss_diff,better,significant_5pct
accra,seasonal_naive,lgbm_direct,4.539671877005113,7.86711922278644e-06,0.2901585829422726,lgbm_direct,True
accra,seasonal_naive,chronos,0.5152092010747549,0.606746635130532,0.038541784740629643,chronos,False
accra,seasonal_naive,chronos_cov,2.49713753718849,0.012999557669137705,0.17016383826395282,chronos_cov,True
accra,seasonal_naive,nas_gru,-0.8024487987203043,0.4228622925366782,-0.06475130944024952,seasonal_naive,False
accra,lgbm_direct,chronos,-8.223572533791346,4.406183304842802e-15,-0.25161679820164295,lgbm_direct,True
accra,lgbm_direct,chronos_cov,-2.9457816676392343,0.003446892950836726,-0.1199947446783198,lgbm_direct,True
accra,lgbm_direct,nas_gru,-9.957043204841275,1.2505116077159214e-20,-0.35490989238252213,lgbm_direct,True
accra,chronos,chronos_cov,2.9575855046786863,0.003320889016291102,0.13162205352332318,chronos_cov,True
accra,chronos,nas_gru,-2.669824102187105,0.007958957594640928,-0.10329309418087916,chronos,True
accra,chronos_cov,nas_gru,-4.5392073755385605,7.883458023697742e-06,-0.23491514770420233,chronos_cov,True
addis_ababa,seasonal_naive,lgbm_direct,5.787552369808395,1.641810250939997e-08,2.292643832833023,lgbm_direct,True
addis_ababa,seasonal_naive,chronos,4.291317525980507,2.3276660759394206e-05,1.537975666636512,chronos,True
addis_ababa,seasonal_naive,chronos_cov,4.897256673512893,1.514748014947355e-06,1.6923069579270564,chronos_cov,True
addis_ababa,seasonal_naive,nas_gru,3.7723246352612505,0.00019118771112182592,1.4772441937809897,nas_gru,True
addis_ababa,lgbm_direct,chronos,-3.7066226264414395,0.0002456892422804624,-0.7546681661965108,lgbm_direct,True
addis_ababa,lgbm_direct,chronos_cov,-4.649111333010957,4.802465658758142e-06,-0.6003368749059665,lgbm_direct,True
addis_ababa,lgbm_direct,nas_gru,-4.900009976925572,1.4950772018036275e-06,-0.8153996390520333,lgbm_direct,True
addis_ababa,chronos,chronos_cov,0.8826337280593789,0.3780671057090996,0.15433129129054415,chronos_cov,False
addis_ababa,chronos,nas_gru,-0.36137653518478313,0.7180457916205047,-0.0607314728555225,chronos,False
addis_ababa,chronos_cov,nas_gru,-1.2078713959352885,0.22794875309890505,-0.21506276414606662,chronos_cov,False
amsterdam,seasonal_naive,lgbm_direct,3.783855878932823,0.00018288681215512692,3.821631993136574,lgbm_direct,True
amsterdam,seasonal_naive,chronos,3.7387484416408086,0.0002174299826640279,3.8961756291843592,chronos,True
amsterdam,seasonal_naive,chronos_cov,3.676942307578397,0.00027484175980327635,4.054003332988941,chronos_cov,True
amsterdam,seasonal_naive,nas_gru,3.608096112391051,0.0003554792122242843,3.6007332080886476,nas_gru,True
amsterdam,lgbm_direct,chronos,0.4292913981337363,0.66798713091589,0.0745436360477847,chronos,False
amsterdam,lgbm_direct,chronos_cov,1.0600224394664575,0.2898980503957872,0.2323713398523671,chronos_cov,False
amsterdam,lgbm_direct,nas_gru,-0.9156231416524694,0.36052320320838094,-0.22089878504792698,lgbm_direct,False
amsterdam,chronos,chronos_cov,0.8717199069415218,0.3839855030761754,0.1578277038045824,chronos_cov,False
amsterdam,chronos,nas_gru,-1.0697872056762685,0.2854852907989421,-0.29544242109571167,chronos,False
amsterdam,chronos_cov,nas_gru,-1.6230820768652738,0.10551246614329785,-0.45327012490029406,chronos_cov,False
bangkok,seasonal_naive,lgbm_direct,4.04393221009051,6.527710086847794e-05,1.2972734318976404,lgbm_direct,True
bangkok,seasonal_naive,chronos,2.535526056315002,0.011682022580923483,0.9593176932561966,chronos,True
bangkok,seasonal_naive,chronos_cov,3.8797388034590137,0.0001259044967067084,1.2359630356068527,chronos_cov,True
bangkok,seasonal_naive,nas_gru,2.187312288089763,0.029410612537507073,0.7769951445715768,nas_gru,True
bangkok,lgbm_direct,chronos,-3.6269618739819895,0.00033141115474625426,-0.3379557386414437,lgbm_direct,True
bangkok,lgbm_direct,chronos_cov,-1.8891499099502391,0.05973521019488035,-0.06131039629078758,lgbm_direct,False
bangkok,lgbm_direct,nas_gru,-8.24894709290811,3.6940856986911946e-15,-0.5202782873260635,lgbm_direct,True
bangkok,chronos,chronos_cov,3.142232353797744,0.0018262707325395445,0.27664534235065613,chronos_cov,True
bangkok,chronos,nas_gru,-2.348447581850427,0.0194327040872056,-0.18232254868461978,chronos,True
bangkok,chronos_cov,nas_gru,-6.69618068361199,9.037105610888477e-11,-0.4589678910352759,chronos_cov,True
berlin,seasonal_naive,lgbm_direct,3.506703396997089,0.000515514447934057,3.809791671912921,lgbm_direct,True
berlin,seasonal_naive,chronos,2.8643787116127557,0.004441842891109494,3.621999968801226,chronos,True
berlin,seasonal_naive,chronos_cov,3.402741974948579,0.0007479591421237935,4.028935054991905,chronos_cov,True
berlin,seasonal_naive,nas_gru,1.9127785272589077,0.05662882512960071,2.1577598537717546,nas_gru,False
berlin,lgbm_direct,chronos,-0.5039672308996849,0.6146156697274225,-0.18779170311169466,lgbm_direct,False
berlin,lgbm_direct,chronos_cov,0.879464620825337,0.3797798212099054,0.21914338307898448,chronos_cov,False
berlin,lgbm_direct,nas_gru,-10.10052701772623,4.0906696085293686e-21,-1.6520318181411662,lgbm_direct,True
berlin,chronos,chronos_cov,1.4440016480908209,0.14967306283641382,0.4069350861906791,chronos_cov,False
berlin,chronos,nas_gru,-3.575406896073717,0.0004011120010018721,-1.4642401150294713,chronos,True
berlin,chronos_cov,nas_gru,-6.4613421037161745,3.6584277579404986e-10,-1.8711752012201504,chronos_cov,True
bogota,seasonal_naive,lgbm_direct,3.2038358128389173,0.001486392884735432,1.3711938615457337,lgbm_direct,True
bogota,seasonal_naive,chronos,2.1681482726325503,0.030850978937128373,0.925077246768134,chronos,True
bogota,seasonal_naive,chronos_cov,2.3854014191056354,0.01761587266651589,1.1034122170909668,chronos_cov,True
bogota,seasonal_naive,nas_gru,1.168927760530578,0.24326383733723425,0.502191400527954,nas_gru,False
