tier,model,mean_coverage,mean_width,n_cities
rich,chronos,0.8998015873015872,10.723072120121547,14
rich,chronos_cov,0.9226190476190476,23.914518579916376,14
rich,lgbm_direct,0.9226190476190476,9.560188660798868,14
rich,nas_gru,0.9097222222222222,11.74807619197028,14
rich,seasonal_naive,0.933531746031746,18.04285714285714,14
scarce,chronos,0.9361111111111111,5.896016387939454,15
scarce,chronos_cov,0.9388888888888889,13.79398466800973,15
scarce,lgbm_direct,0.9444444444444444,4.380708178170889,15
scarce,nas_gru,0.95,6.018786544799805,15
scarce,seasonal_naive,0.9675925925925927,8.96,15
